coord,sciname,tile,label
"(7.276785714285714, 324.4642857142857)",Fusobacterium,0,2
"(3.5, 368.7931034482759)",Capnocytophaga,0,3
"(5.034090909090909, 445.65909090909093)",Fusobacterium,0,4
"(7.078651685393258, 934.1348314606741)",Rothia,0,5
"(3.074626865671642, 948.1343283582089)",Fusobacterium,0,6
"(3.694915254237288, 1041.593220338983)",Capnocytophaga,0,7
"(5.383838383838384, 1081.989898989899)",Campylobacter,0,8
"(5.026666666666666, 1359.24)",Fusobacterium,0,9
"(5.757281553398058, 1429.4757281553398)",Rothia,0,10
"(4.652777777777778, 1555.4027777777778)",Rothia,0,11
"(5.615384615384615, 1767.923076923077)",Porphyromonas,0,12
"(6.845528455284553, 1796.658536585366)",Capnocytophaga,0,13
"(7.028368794326241, 1835.2482269503546)",Prevotella,0,14
"(7.340314136125654, 39.968586387434556)",Treponema,0,15
"(4.8307692307692305, 121.96923076923076)",Veillonella,0,16
"(5.095652173913043, 138.42608695652174)",Pasteurellaceae,0,17
"(4.38, 356.62)",Porphyromonas,0,18
"(4.242424242424242, 514.3333333333334)",Selenomonas,0,19
"(4.568965517241379, 606.2241379310345)",Capnocytophaga,0,20
"(4.383561643835616, 650.2602739726027)",Campylobacter,0,21
"(4.267441860465116, 739.2325581395348)",Lautropia,0,22
"(6.76, 911.4933333333333)",Rothia,0,23
"(5.475409836065574, 1107.377049180328)",Rothia,0,24
"(6.705128205128205, 1689.1153846153845)",Rothia,0,25
"(6.813953488372093, 84.01162790697674)",Rothia,0,26
"(5.741379310344827, 103.45689655172414)",Gemella,0,27
"(5.890625, 167.953125)",Gemella,0,28
"(5.964285714285714, 250.70238095238096)",Rothia,0,29
"(6.330357142857143, 276.29464285714283)",Capnocytophaga,0,30
"(6.183431952662722, 469.1360946745562)",Rothia,0,31
"(9.675392670157068, 628.3298429319372)",Capnocytophaga,0,32
"(5.246753246753247, 682.1428571428571)",Gemella,0,33
"(6.049382716049383, 715.2962962962963)",Veillonella,0,34
"(7.769230769230769, 776.2307692307693)",Lautropia,0,35
"(5.630769230769231, 804.8153846153846)",Rothia,0,36
"(5.716666666666667, 818.75)",Gemella,0,37
"(5.448717948717949, 855.9871794871794)",Prevotella,0,38
