coord,sciname,tile,label
"(8.416666666666666, 549.1416666666667)",Streptococcus,0,2
"(5.17741935483871, 578.8548387096774)",Fusobacterium,0,3
"(4.701298701298701, 938.2597402597403)",Capnocytophaga,0,4
"(5.469565217391304, 179.4)",Pasteurellaceae,0,5
"(6.205882352941177, 241.5441176470588)",Actinomyces,0,6
"(6.1063829787234045, 306.3936170212766)",Actinomyces,0,7
"(6.781818181818182, 345.55454545454546)",Pasteurellaceae,0,8
"(6.2101449275362315, 422.9347826086956)",Porphyromonas,0,10
"(6.171052631578948, 481.0921052631579)",Campylobacter,0,11
"(5.25, 493.14285714285717)",Streptococcus,0,12
"(6.943181818181818, 507.625)",Fusobacterium,0,13
"(5.147540983606557, 564.8360655737705)",Fusobacterium,0,14
"(4.395061728395062, 616.8888888888889)",Porphyromonas,0,16
"(5.593220338983051, 672.1694915254237)",Fusobacterium,0,17
"(6.861538461538461, 689.0846153846154)",Fusobacterium,0,18
"(6.219047619047619, 745.3619047619047)",Streptococcus,0,19
"(6.539130434782609, 831.8782608695652)",Capnocytophaga,0,20
"(5.0625, 850.3020833333334)",Saccharibacteria,0,21
"(10.146788990825687, 871.3853211009174)",Fusobacterium,0,22
"(4.087719298245614, 885.6842105263158)",Saccharibacteria,0,23
"(5.1976744186046515, 899.546511627907)",Streptococcus,0,24
"(8.94267515923567, 921.7707006369427)",Fusobacterium,0,25
"(4.916666666666667, 955.3833333333333)",Fusobacterium,0,26
"(6.364779874213837, 986.2201257861635)",Capnocytophaga,0,27
"(5.0673076923076925, 1097.8653846153845)",Rothia,0,29
"(7.891666666666667, 1115.05)",Fusobacterium,0,30
"(5.876404494382022, 1193.1348314606741)",Selenomonas,0,31
"(5.811594202898551, 1360.1159420289855)",Prevotella,0,33
"(5.132075471698113, 1429.3584905660377)",Capnocytophaga,0,35
"(5.2784810126582276, 1482.873417721519)",Selenomonas,0,36
"(5.722222222222222, 1550.8666666666666)",Capnocytophaga,0,37
"(5.3977272727272725, 1736.034090909091)",Neisseria,0,38
