coord,sciname,tile,label
"[7.948717948717949, 12.314102564102564]",Streptococcus,0,1
"[4.536585365853658, 29.914634146341463]",Streptococcus,0,2
"[4.72972972972973, 99.17567567567568]",Neisseria,0,3
"[5.858585858585859, 118.4949494949495]",Neisseria,0,4
"[4.183098591549296, 133.32394366197184]",Streptococcus,0,5
"[6.225, 183.89166666666668]",Streptococcus,0,7
"[3.4, 288.78333333333336]",Treponema,0,8
"[3.685185185185185, 320.9259259259259]",Streptococcus,0,9
"[7.677685950413223, 333.3388429752066]",Neisseria,0,10
"[10.23972602739726, 366.1849315068493]",Veillonella,0,11
"[6.927835051546392, 462.96907216494844]",Neisseria,0,12
"[9.651162790697674, 708.0]",Veillonella,0,13
"[2.9298245614035086, 726.8070175438596]",Streptococcus,0,14
"[8.130841121495328, 745.1495327102804]",Veillonella,0,15
"[3.3875, 773.2125]",Neisseria,0,16
"[7.942222222222222, 884.72]",Neisseria,0,18
"[5.62280701754386, 943.280701754386]",Neisseria,0,19
"[6.1, 968.2933333333333]",Neisseria,0,20
"[8.669354838709678, 1073.967741935484]",Neisseria,0,21
"[4.386666666666667, 1144.72]",Veillonella,0,22
"[7.7592592592592595, 1245.7222222222222]",Neisseria,0,24
"[3.2954545454545454, 1273.4886363636363]",Neisseria,0,26
"[5.232558139534884, 1340.4883720930231]",Veillonella,0,27
"[2.5764705882352943, 1559.035294117647]",Neisseria,0,29
"[6.098591549295775, 1673.5211267605634]",Streptococcus,0,30
"[4.927710843373494, 1705.9638554216867]",Neisseria,0,31
"[5.126984126984127, 1720.3015873015872]",Neisseria,0,32
"[15.880597014925373, 1791.8507462686566]",Pasteurellaceae,0,33
"[5.589285714285714, 1182.5982142857142]",Neisseria,0,37
"[7.9, 817.9625]",Veillonella,0,38
"[5.111111111111111, 1031.015873015873]",Veillonella,0,39
"[8.606382978723405, 146.46808510638297]",Streptococcus,0,40
"[6.64, 349.24]",Neisseria,0,41
"[11.012448132780083, 394.9502074688797]",Veillonella,0,42
"[8.26, 909.8]",Treponema,0,43
"[8.518181818181818, 1124.0545454545454]",Neisseria,0,44
"[6.6, 1321.83]",Neisseria,0,45
"[13.192592592592593, 272.1925925925926]",Neisseria,0,47
"[10.352, 302.32]",Veillonella,0,48
"[7.90566037735849, 430.79245283018867]",Neisseria,0,49
"[9.024096385542169, 791.3734939759037]",Veillonella,0,50
"[12.418079096045197, 1378.1581920903955]",Veillonella,0,51
"[9.84251968503937, 1395.708661417323]",Saccharibacteria,0,52
"[9.097560975609756, 1735.560975609756]",Neisseria,0,53
"[8.173076923076923, 1754.326923076923]",Neisseria,0,54
"[9.743243243243244, 420.7567567567568]",Neisseria,0,56
"[10.339805825242719, 1018.1262135922331]",Neisseria,0,57
"[10.513761467889909, 1098.6880733944954]",Neisseria,0,58
"[12.11111111111111, 1631.4753086419753]",Neisseria,0,59
"[13.284210526315789, 1774.0736842105264]",Actinomyces,0,60
"[12.132530120481928, 202.57831325301206]",Streptococcus,0,61
"[11.26388888888889, 215.69444444444446]",Streptococcus,0,62
"[14.964028776978417, 762.3741007194244]",Veillonella,0,63
"[10.36046511627907, 1296.0581395348838]",Veillonella,0,64
"[16.529411764705884, 1654.5058823529412]",Neisseria,0,65
"[12.728070175438596, 641.6754385964912]",Neisseria,0,67
"[17.984251968503937, 845.4685039370079]",Veillonella,0,68
"[12.61046511627907, 1052.296511627907]",Neisseria,0,69
"[12.155172413793103, 164.89655172413794]",Streptococcus,0,72
"[13.513274336283185, 230.5486725663717]",Streptococcus,0,73
"[12.02247191011236, 596.123595505618]",Neisseria,0,74
"[11.8984375, 1229.375]",Neisseria,0,75
"[14.858407079646017, 1415.1238938053098]",Streptococcus,0,76
"[16.824074074074073, 106.54629629629629]",Treponema,0,78
"[17.90909090909091, 827.0519480519481]",Veillonella,0,80
"[16.114942528735632, 318.735632183908]",Selenomonas,0,83
"[14.455445544554456, 441.3168316831683]",Veillonella,0,84
"[13.267605633802816, 867.2535211267606]",Rothia,0,85
"[16.482758620689655, 1672.1264367816093]",Streptococcus,0,86
"[14.35064935064935, 1692.4545454545455]",Neisseria,0,87
"[22.84158415841584, 923.7178217821782]",Neisseria,0,92
"[16.8018018018018, 988.3333333333334]",Neisseria,0,93
"[22.155038759689923, 1006.1395348837209]",Treponema,0,94
"[19.16, 286.36]",Neisseria,0,96
"[16.151162790697676, 727.4767441860465]",Neisseria,0,97
"[15.423076923076923, 881.0961538461538]",Neisseria,0,98
"[20.26851851851852, 1032.962962962963]",Veillonella,0,99
