coord,sciname,tile,label
"(789.2747252747253, 928.5934065934066)",Veillonella,0,1
"(797.3574660633484, 935.2398190045249)",Veillonella,0,2
"(810.5285714285715, 912.452380952381)",Streptococcus,0,4
"(813.6478873239437, 954.943661971831)",Veillonella,0,5
"(821.2615384615384, 941.4923076923077)",Selenomonas,0,6
"(820.4722222222222, 922.9814814814815)",Streptococcus,0,7
"(828.4270833333334, 958.4270833333334)",Capnocytophaga,0,8
"(835.765625, 938.625)",Capnocytophaga,0,10
"(857.8928571428571, 813.3392857142857)",Treponema,0,11
"(867.560606060606, 802.1060606060606)",Treponema,0,12
"(880.69375, 812.30625)",Selenomonas,0,13
"(879.4594594594595, 797.6666666666666)",Veillonella,0,14
"(892.9154929577464, 467.11971830985914)",Veillonella,0,15
"(893.9464285714286, 479.17857142857144)",Veillonella,0,16
"(899.4590163934427, 490.1475409836066)",Veillonella,0,17
"(899.0902777777778, 798.5763888888889)",Streptococcus,0,18
"(904.2173913043479, 506.04347826086956)",Veillonella,0,19
"(908.4910714285714, 452.5892857142857)",Veillonella,0,20
"(911.5342465753424, 738.4246575342465)",Capnocytophaga,0,21
"(919.3550724637681, 778.3768115942029)",Fusobacterium,0,22
"(923.876160990712, 754.3839009287925)",Rothia,0,24
"(918.5102040816327, 468.734693877551)",Veillonella,0,25
"(916.7380952380952, 560.0396825396825)",Capnocytophaga,0,26
"(917.560606060606, 496.93939393939394)",Veillonella,0,27
"(921.2108843537414, 578.3673469387755)",Capnocytophaga,0,28
"(923.3584905660377, 482.22641509433964)",Veillonella,0,29
"(929.8274760383387, 804.7923322683706)",Campylobacter,0,30
"(937.6621621621622, 566.222972972973)",Capnocytophaga,0,32
"(942.4961832061068, 467.35114503816794)",Veillonella,0,33
"(942.4328358208955, 828.0970149253732)",Veillonella,0,34
"(955.934065934066, 435.9340659340659)",Veillonella,0,35
"(952.2307692307693, 448.75)",Veillonella,0,36
"(955.5316455696203, 554.1392405063291)",Selenomonas,0,37
"(959.1593406593406, 575.5439560439561)",Streptococcus,0,38
"(958.58, 423.46)",Veillonella,0,39
"(975.7402597402597, 485.7012987012987)",Streptococcus,0,42
"(979.9402985074627, 850.776119402985)",Capnocytophaga,0,43
"(982.6476190476191, 473.16190476190474)",Actinomyces,0,44
"(984.2931034482758, 457.7413793103448)",Actinomyces,0,45
"(995.8447204968944, 834.4037267080745)",Veillonella,0,49
"(997.6625766871166, 472.46625766871165)",Actinomyces,0,50
"(996.2173913043479, 492.8)",Streptococcus,0,51
"(1004.2405063291139, 800.5949367088608)",Leptotrichia,0,52
"(1010.9496855345911, 842.6540880503145)",Selenomonas,0,53
"(1016.8531468531469, 876.7552447552448)",Actinomyces,0,54
"(1027.109243697479, 860.7689075630252)",Actinomyces,0,55
"(1022.4033613445379, 789.3781512605042)",Capnocytophaga,0,56
"(1023.7810650887574, 834.7218934911242)",Veillonella,0,57
"(1031.546511627907, 778.6627906976744)",Capnocytophaga,0,58
"(1037.109375, 762.40625)",Lautropia,0,59
"(1040.0925925925926, 842.6296296296297)",Veillonella,0,61
"(1045.0975609756097, 871.7560975609756)",Selenomonas,0,62
"(1044.7307692307693, 776.1282051282051)",Selenomonas,0,63
"(1043.921568627451, 756.4901960784314)",Streptococcus,0,64
"(1043.741935483871, 858.1129032258065)",Veillonella,0,65
"(1046.2972972972973, 803.3603603603603)",Streptococcus,0,66
"(1055.5466666666666, 790.28)",Streptococcus,0,67
"(1053.3513513513512, 751.8918918918919)",Selenomonas,0,69
"(1064.3589743589744, 772.5512820512821)",Selenomonas,0,70
"(1067.1855670103093, 745.0927835051547)",Capnocytophaga,0,71
"(1076.0281690140846, 783.8826291079812)",Streptococcus,0,72
"(1080.7407407407406, 739.2037037037037)",Capnocytophaga,0,73
"(1089.518134715026, 744.880829015544)",Capnocytophaga,0,74
"(1090.3372093023256, 773.8139534883721)",Streptococcus,0,75
"(1090.712765957447, 793.8829787234042)",Fusobacterium,0,76
"(1098.607142857143, 851.3333333333334)",Actinomyces,0,77
"(1100.138888888889, 866.9027777777778)",Streptococcus,0,78
"(1102.34375, 838.71875)",Corynebacterium,0,79
"(1104.310924369748, 771.6974789915967)",Streptococcus,0,80
"(1107.4947916666667, 707.5)",Streptococcus,0,81
"(1110.3169398907103, 749.0983606557377)",Veillonella,0,82
"(1108.0098039215686, 783.8137254901961)",Capnocytophaga,0,83
"(1116.779552715655, 856.5495207667732)",Actinomyces,0,84
"(1111.9473684210527, 732.4561403508771)",Selenomonas,0,85
"(1112.5802469135801, 829.6296296296297)",Veillonella,0,86
"(1112.7823529411764, 955.0)",Campylobacter,0,87
"(1113.5172413793102, 723.3620689655172)",Rothia,0,88
"(1120.35, 777.4083333333333)",Streptococcus,0,89
"(1121.046357615894, 988.1456953642385)",Veillonella,0,90
"(1126.708661417323, 707.8425196850394)",Capnocytophaga,0,91
"(1124.888888888889, 926.0555555555555)",Neisseria,0,92
"(1128.2131147540983, 969.4863387978143)",Veillonella,0,93
"(1125.9032258064517, 736.3709677419355)",Capnocytophaga,0,94
"(1131.0680272108843, 941.0884353741496)",Veillonella,0,95
"(1128.120481927711, 758.156626506024)",Streptococcus,0,97
"(1127.4146341463415, 840.109756097561)",Corynebacterium,0,98
"(1135.979020979021, 784.1188811188811)",Streptococcus,0,99
"(1130.8275862068965, 955.3275862068965)",Veillonella,0,100
"(1133.5737704918033, 745.672131147541)",Treponema,0,101
"(1134.923076923077, 730.6153846153846)",Capnocytophaga,0,102
"(1142.3333333333333, 771.5378787878788)",Streptococcus,0,104
"(1139.546875, 714.46875)",Streptococcus,0,105
"(1140.0684931506848, 926.8767123287671)",Neisseria,0,107
"(1143.2417582417581, 698.7142857142857)",Capnocytophaga,0,108
"(1146.7205882352941, 759.0)",Streptococcus,0,109
"(1147.05223880597, 955.4179104477612)",Pasteurellaceae,0,110
"(1145.6923076923076, 665.5)",Selenomonas,0,111
"(1149.1707317073171, 732.4634146341464)",Capnocytophaga,0,112
"(1154.8488372093022, 744.7906976744187)",Streptococcus,0,113
"(1148.0704225352113, 917.8450704225352)",Veillonella,0,114
"(1150.8217054263566, 649.5658914728682)",Rothia,0,115
"(1151.134328358209, 717.820895522388)",Capnocytophaga,0,116
"(1152.591304347826, 688.2173913043479)",Prevotella,0,117
"(1154.9271523178809, 946.6887417218543)",Actinomyces,0,118
"(1154.8831168831168, 671.974025974026)",Capnocytophaga,0,119
"(1157.5595238095239, 764.6428571428571)",Fusobacterium,0,120
"(1161.4363636363637, 713.9272727272727)",Capnocytophaga,0,121
"(1157.440366972477, 933.8990825688073)",Corynebacterium,0,122
"(1159.142857142857, 910.8928571428571)",Corynebacterium,0,123
"(1166.7264150943397, 643.7783018867924)",Rothia,0,124
"(1162.9846153846154, 661.1923076923077)",Rothia,0,125
"(1160.68, 897.36)",Actinomyces,0,126
"(1165.7, 819.5642857142857)",Streptococcus,0,128
"(1164.0842105263157, 942.8421052631579)",Actinomyces,0,129
"(1165.968253968254, 692.4126984126984)",Capnocytophaga,0,130
"(1181.6315789473683, 837.7644110275689)",Streptococcus,0,131
