coord,sciname,tile,label
"(4.151515151515151, 850.5)",Capnocytophaga,0,1
"(2.564516129032258, 885.241935483871)",Saccharibacteria,0,2
"(7.0, 914.1084337349398)",Porphyromonas,0,3
"(6.679012345679013, 1015.395061728395)",Pasteurellaceae,0,4
"(1.9838709677419355, 1024.532258064516)",Neisseria,0,5
"(4.536842105263158, 1045.6842105263158)",Pasteurellaceae,0,6
"(4.195121951219512, 1130.2926829268292)",Selenomonas,0,7
"(10.312101910828025, 1230.2038216560509)",Pasteurellaceae,0,8
"(3.142857142857143, 1294.6883116883116)",Selenomonas,0,10
"(4.564102564102564, 1312.3846153846155)",Neisseria,0,11
"(3.125, 1346.2857142857142)",Saccharibacteria,0,12
"(3.9368421052631577, 1395.2631578947369)",Pasteurellaceae,0,13
"(6.119402985074627, 1461.8208955223881)",Actinomyces,0,14
"(8.45774647887324, 1499.5633802816901)",Pasteurellaceae,0,15
"(1.830188679245283, 1535.4528301886792)",Pasteurellaceae,0,16
"(3.176470588235294, 1550.3725490196077)",Pasteurellaceae,0,17
"(8.764705882352942, 1565.6050420168067)",Pasteurellaceae,0,19
"(5.6911764705882355, 1579.6323529411766)",Veillonella,0,20
"(6.0, 1665.4318181818182)",Treponema,0,21
"(6.289719626168225, 1689.1401869158879)",Neisseria,0,22
"(6.357142857142857, 1725.561224489796)",Pasteurellaceae,0,23
"(6.739495798319328, 1740.7899159663866)",Selenomonas,0,24
"(5.536585365853658, 1774.5853658536585)",Selenomonas,0,25
"(5.109375, 1924.90625)",Treponema,0,26
"(5.484848484848484, 928.6969696969697)",Saccharibacteria,0,27
"(11.18018018018018, 1160.5855855855855)",Streptococcus,0,29
"(8.8, 1250.9846153846154)",Pasteurellaceae,0,30
"(9.364705882352942, 1361.7058823529412)",Gemella,0,32
"(8.517241379310345, 1708.8045977011495)",Pasteurellaceae,0,34
"(10.808988764044944, 1796.7865168539327)",Fusobacterium,0,35
"(9.44943820224719, 1909.438202247191)",Corynebacterium,0,36
"(8.983333333333333, 863.0166666666667)",Fusobacterium,0,37
"(11.254901960784315, 1096.137254901961)",Corynebacterium,0,38
"(11.44915254237288, 1146.2881355932204)",Selenomonas,0,39
"(7.930555555555555, 1276.4583333333333)",Corynebacterium,0,40
"(10.37704918032787, 1415.1311475409836)",Pasteurellaceae,0,41
"(10.927536231884059, 1521.7101449275362)",Neisseria,0,42
"(9.423076923076923, 998.5961538461538)",Pasteurellaceae,0,43
