coord,sciname,tile,label
"(3.5074626865671643, 96.58208955223881)",Pasteurellaceae,0,1
"(3.7, 210.92222222222222)",Capnocytophaga,0,2
"(3.6470588235294117, 782.0735294117648)",Selenomonas,0,3
"(5.8671875, 962.5703125)",Neisseriaceae,0,4
"(5.872611464968153, 1599.8917197452229)",Neisseriaceae,0,5
"(7.642857142857143, 1727.9142857142858)",Neisseriaceae,0,6
"(5.79054054054054, 72.41216216216216)",Neisseriaceae,0,9
"(4.962025316455696, 126.92405063291139)",Neisseriaceae,0,10
"(6.417582417582418, 797.8901098901099)",Pasteurellaceae,0,11
"(4.8088235294117645, 1254.3676470588234)",Veillonella,0,12
"(6.934782608695652, 36.358695652173914)",Capnocytophaga,0,13
"(6.043956043956044, 811.8131868131868)",Corynebacterium,0,14
"(5.261363636363637, 834.6022727272727)",Pasteurellaceae,0,16
"(6.7846153846153845, 1626.4923076923078)",Neisseriaceae,0,17
"(5.507936507936508, 1708.5714285714287)",Neisseriaceae,0,18
"(9.659685863874346, 1765.5497382198953)",Neisseriaceae,0,19
"(6.6, 1783.0166666666667)",Neisseriaceae,0,20
"(10.87603305785124, 1917.892561983471)",Neisseriaceae,0,21
"(7.84375, 1992.14375)",Neisseriaceae,0,22
"(5.542857142857143, 2014.942857142857)",Neisseriaceae,0,24
"(10.988142292490119, 10.193675889328063)",Pasteurellaceae,0,25
"(8.4, 47.527272727272724)",Pasteurellaceae,0,26
"(6.510204081632653, 112.59183673469387)",Capnocytophaga,0,27
"(6.016129032258065, 144.66129032258064)",Neisseriaceae,0,28
"(5.5588235294117645, 161.11764705882354)",Gemella,0,29
"(6.426666666666667, 173.88)",Lautropia,0,30
"(7.007462686567164, 854.223880597015)",Neisseriaceae,0,31
"(6.5, 886.8291139240506)",Neisseriaceae,0,32
"(6.0078740157480315, 1648.763779527559)",Pasteurellaceae,0,33
"(8.409638554216867, 1667.8192771084337)",Neisseriaceae,0,34
"(8.29245283018868, 1693.566037735849)",Neisseriaceae,0,35
"(5.519230769230769, 1850.4615384615386)",Pasteurellaceae,0,36
"(6.588235294117647, 1879.0686274509803)",Neisseriaceae,0,37
"(7.97, 1952.53)",Neisseriaceae,0,38
"(6.177777777777778, 1969.4444444444443)",Neisseriaceae,0,39
"(6.504424778761062, 2040.0353982300885)",Neisseriaceae,0,40
"(12.78125, 875.765625)",Pasteurellaceae,0,41
"(12.21551724137931, 1560.844827586207)",Neisseriaceae,0,42
"(9.91044776119403, 1796.402985074627)",Neisseriaceae,0,43
"(11.397111913357401, 1818.3646209386281)",Neisseriaceae,0,44
