coord,sciname,tile,label
"(5.504504504504505, 315.8018018018018)",Rothia,0,1
"(5.2, 156.0)",Leptotrichia,0,2
"(5.130434782608695, 284.3623188405797)",Streptococcus,0,4
"(6.564102564102564, 377.38461538461536)",Leptotrichia,0,5
"(7.052631578947368, 446.36842105263156)",Actinomyces,0,6
"(6.006060606060606, 701.1030303030303)",Lautropia,0,7
"(5.350877192982456, 999.3771929824561)",Gemella,0,8
"(5.103896103896104, 1370.6753246753246)",Leptotrichia,0,9
"(5.1234567901234565, 1451.7654320987654)",Leptotrichia,0,11
"(5.5777777777777775, 1466.3333333333333)",Leptotrichia,0,12
"(4.6231884057971016, 1901.927536231884)",Capnocytophaga,0,13
"(5.193181818181818, 1972.0795454545455)",Leptotrichia,0,14
"(8.436090225563909, 18.789473684210527)",Selenomonas,0,15
"(5.804511278195489, 37.81954887218045)",Corynebacterium,0,16
"(5.515789473684211, 61.242105263157896)",Capnocytophaga,0,17
"(6.076923076923077, 83.41538461538461)",Rothia,0,18
"(5.970588235294118, 94.5)",Rothia,0,19
"(6.7215189873417724, 110.84810126582279)",TM7,0,20
"(10.236559139784946, 135.30465949820788)",Campylobacter,0,21
"(10.8125, 173.94886363636363)",Actinomyces,0,22
"(7.818627450980392, 245.2549019607843)",Rothia,0,23
"(14.471204188481675, 363.9371727748691)",Rothia,0,24
"(5.741935483870968, 392.4731182795699)",Actinomyces,0,25
"(8.444444444444445, 418.8076923076923)",Leptotrichia,0,26
"(6.2521008403361344, 468.20168067226894)",Rothia,0,27
"(7.0, 490.6220930232558)",Actinomyces,0,28
"(8.363636363636363, 510.5804195804196)",Rothia,0,29
"(6.528846153846154, 528.25)",Rothia,0,30
"(6.0, 550.4516129032259)",Fusobacterium,0,31
"(7.438356164383562, 575.0502283105022)",Actinomyces,0,32
"(6.704545454545454, 599.9090909090909)",Actinomyces,0,33
"(8.543859649122806, 614.0438596491229)",Rothia,0,34
"(9.160377358490566, 629.1320754716982)",Actinomyces,0,35
"(10.283333333333333, 643.075)",Leptotrichia,0,36
"(7.8791208791208796, 666.021978021978)",Leptotrichia,0,38
"(5.963768115942029, 735.2753623188406)",Veillonella,0,39
"(5.822085889570552, 759.601226993865)",Veillonella,0,40
"(6.066666666666666, 783.2)",Veillonella,0,41
"(6.350318471337579, 805.0764331210191)",Veillonella,0,42
"(6.718120805369128, 828.1342281879195)",Veillonella,0,43
"(5.544, 848.848)",Veillonella,0,44
"(5.881578947368421, 873.5263157894736)",Veillonella,0,45
"(8.176470588235293, 902.2156862745098)",Veillonella,0,46
"(7.768115942028985, 920.4130434782609)",Veillonella,0,47
"(5.5131578947368425, 940.6842105263158)",Veillonella,0,48
"(5.648936170212766, 958.2978723404256)",Veillonella,0,49
"(6.337662337662338, 977.0)",Veillonella,0,50
"(6.12, 1013.82)",Leptotrichia,0,51
"(6.8544303797468356, 1033.2848101265822)",Leptotrichia,0,52
"(5.925531914893617, 1055.8510638297873)",Leptotrichia,0,53
"(6.0962962962962965, 1076.325925925926)",Leptotrichia,0,54
"(5.271186440677966, 1092.5084745762713)",Leptotrichia,0,55
"(5.884057971014493, 1103.3333333333333)",Leptotrichia,0,56
"(6.333333333333333, 1119.2868217054263)",Leptotrichia,0,57
"(5.817073170731708, 1136.158536585366)",Leptotrichia,0,58
"(5.773809523809524, 1151.4761904761904)",Leptotrichia,0,59
"(7.136363636363637, 1166.5227272727273)",Leptotrichia,0,60
"(10.84189723320158, 1177.8577075098815)",Leptotrichia,0,61
"(5.902439024390244, 1208.378048780488)",Leptotrichia,0,63
"(6.4245283018867925, 1223.9716981132076)",Pasteurellaceae,0,64
"(6.336633663366337, 1243.7524752475247)",Pasteurellaceae,0,65
"(5.813432835820896, 1268.634328358209)",Pasteurellaceae,0,67
"(7.0, 1288.0)",Treponema,0,68
"(9.14391143911439, 1309.8929889298893)",Selenomonas,0,69
"(7.890909090909091, 1330.918181818182)",Leptotrichia,0,70
"(6.566666666666666, 1342.15)",Leptotrichia,0,71
"(5.2023809523809526, 1355.202380952381)",Leptotrichia,0,72
"(5.590673575129534, 1396.6062176165804)",Leptotrichia,0,73
"(5.748251748251748, 1426.8881118881118)",Leptotrichia,0,74
"(5.623655913978495, 1545.5806451612902)",Leptotrichia,0,76
"(6.44, 1566.4057142857143)",Pasteurellaceae,0,77
"(7.3090909090909095, 1596.9454545454546)",Leptotrichia,0,78
"(6.419753086419753, 1621.7283950617284)",Campylobacter,0,79
"(5.230769230769231, 1642.6153846153845)",Leptotrichia,0,80
"(5.522388059701493, 1656.402985074627)",Leptotrichia,0,81
"(5.346153846153846, 1671.8333333333333)",TM7,0,82
"(7.039823008849558, 1695.3141592920354)",Corynebacterium,0,83
"(6.128787878787879, 1720.8030303030303)",Leptotrichia,0,84
