coord,sciname,tile,label
"[6.119205298013245, 1587.9337748344371]",Rothia,0,1
"[6.63013698630137, 344.2328767123288]",Lautropia,0,3
"[8.376, 359.68]",Streptococcus,0,4
"[5.666666666666667, 470.25]",Actinomyces,0,5
"[10.703703703703704, 512.2129629629629]",Treponema,0,6
"[6.242857142857143, 587.5]",Fusobacterium,0,8
"[6.642857142857143, 600.702380952381]",Porphyromonas,0,9
"[8.181818181818182, 613.1111111111111]",Corynebacterium,0,10
"[8.617283950617283, 771.9629629629629]",TM7,0,12
"[12.037037037037036, 812.395061728395]",TM7,0,13
"[7.824427480916031, 870.0992366412214]",Rothia,0,14
"[6.132352941176471, 1001.1323529411765]",Pasteurellaceae,0,15
"[6.925, 1048.3583333333333]",Leptotrichia,0,16
"[6.089285714285714, 1063.357142857143]",Lautropia,0,17
"[7.092307692307692, 117.38461538461539]",TM7,0,19
"[6.196078431372549, 243.19607843137254]",Rothia,0,21
"[7.410714285714286, 288.94642857142856]",Campylobacter,0,22
"[7.379310344827586, 543.1551724137931]",Fusobacterium,0,24
"[7.1066666666666665, 554.3733333333333]",Leptotrichia,0,25
"[6.048780487804878, 571.6463414634146]",Selenomonas,0,26
"[6.9714285714285715, 738.4285714285714]",TM7,0,27
"[6.56, 762.76]",Prevotella,0,28
"[6.818181818181818, 795.987012987013]",Streptococcus,0,30
"[8.201612903225806, 828.6209677419355]",Streptococcus,0,31
"[6.804878048780488, 855.1463414634146]",Corynebacterium,0,32
"[6.686567164179104, 886.1343283582089]",Actinomyces,0,33
"[7.1525423728813555, 958.0677966101695]",Rothia,0,34
"[8.0, 990.1694915254237]",Leptotrichia,0,35
"[6.453125, 1013.734375]",Fusobacterium,0,36
"[7.254545454545455, 1100.3272727272727]",TM7,0,37
"[7.077669902912621, 1178.7669902912621]",Actinomyces,0,38
"[8.735294117647058, 1200.2573529411766]",Treponema,0,39
"[7.7444444444444445, 1228.5777777777778]",Gemella,0,40
"[8.083333333333334, 1376.3833333333334]",TM7,0,41
"[8.329545454545455, 1616.784090909091]",Treponema,0,43
"[9.5375, 1637.825]",Gemella,0,44
"[9.35820895522388, 257.5223880597015]",Fusobacterium,0,47
"[7.037037037037037, 306.0925925925926]",Treponema,0,49
"[7.2, 320.51428571428573]",Leptotrichia,0,50
"[8.1, 376.1166666666667]",Streptococcus,0,52
"[9.0, 422.031746031746]",Capnocytophaga,0,54
"[7.919354838709677, 650.5]",Gemella,0,57
"[7.836065573770492, 712.2131147540983]",Rothia,0,60
"[9.984615384615385, 750.9384615384615]",Neisseriaceae,0,61
"[10.067567567567568, 843.081081081081]",Streptococcus,0,62
"[10.944444444444445, 900.4333333333333]",Corynebacterium,0,63
"[6.428571428571429, 925.7678571428571]",Lautropia,0,64
"[11.43, 970.64]",Fusobacterium,0,65
"[9.441558441558442, 1114.3506493506493]",TM7,0,67
"[10.755813953488373, 1136.25]",Streptococcus,0,68
"[7.243243243243243, 1262.472972972973]",TM7,0,70
"[7.8, 1511.6]",Treponema,0,73
"[9.956140350877194, 1563.4561403508771]",Treponema,0,74
"[8.53225806451613, 1647.741935483871]",Selenomonas,0,76
"[7.2, 1702.4875]",Neisseriaceae,0,77
"[7.2105263157894735, 1767.982456140351]",Actinomyces,0,78
"[7.887640449438202, 1853.7977528089887]",Neisseriaceae,0,79
"[8.931506849315069, 148.3972602739726]",Veillonella,0,82
"[9.029411764705882, 229.39705882352942]",Lautropia,0,84
"[9.169811320754716, 434.64150943396226]",Leptotrichia,0,87
"[8.235294117647058, 724.9803921568628]",Actinomyces,0,92
"[8.838235294117647, 943.0]",Treponema,0,94
"[9.057692307692308, 1032.5384615384614]",Rothia,0,95
"[8.890625, 1247.859375]",TM7,0,99
"[7.634920634920635, 1320.8412698412699]",TM7,0,101
"[7.660377358490566, 1345.0]",Campylobacter,0,102
"[8.217391304347826, 1428.3478260869565]",TM7,0,104
"[10.28, 1440.34]",Gemella,0,105
"[8.755102040816327, 1530.091836734694]",Streptococcus,0,108
"[8.590361445783133, 1667.3734939759036]",Campylobacter,0,110
"[10.507462686567164, 1804.7313432835822]",Gemella,0,112
"[10.128205128205128, 1826.1666666666667]",Lautropia,0,114
"[7.773584905660377, 1868.5094339622642]",Porphyromonas,0,116
"[8.27536231884058, 1897.6811594202898]",Lautropia,0,118
"[8.555555555555555, 27.166666666666668]",Lautropia,0,120
"[11.55, 96.76666666666667]",Gemella,0,121
"[12.677966101694915, 274.5762711864407]",Streptococcus,0,123
"[9.868421052631579, 632.0394736842105]",Treponema,0,124
"[10.313725490196079, 1076.5882352941176]",Gemella,0,125
"[10.950819672131148, 1782.7704918032787]",Neisseriaceae,0,131
"[12.226415094339623, 1730.0]",Treponema,0,133
"[16.810126582278482, 702.3037974683544]",Lautropia,0,135
"[16.236363636363638, 484.95454545454544]",TM7,0,136
"[14.117647058823529, 243.7450980392157]",Prevotella,0,139
"[19.62962962962963, 187.39506172839506]",Rothia,0,143
"[16.822580645161292, 1760.2903225806451]",Gemella,0,145
"[18.098765432098766, 132.1604938271605]",Neisseriaceae,0,149
"[16.783783783783782, 461.1621621621622]",Neisseriaceae,0,150
"[19.734939759036145, 559.1927710843373]",TM7,0,151
"[16.555555555555557, 678.3888888888889]",Gemella,0,154
"[20.428571428571427, 829.1818181818181]",Lautropia,0,155
"[17.835616438356166, 915.2602739726027]",Lautropia,0,156
"[16.235294117647058, 1284.5686274509803]",Gemella,0,158
"[18.646464646464647, 1605.6868686868686]",Lautropia,0,160
"[20.98780487804878, 85.35365853658537]",Porphyromonas,0,161
"[17.174603174603174, 166.20634920634922]",Porphyromonas,0,162
"[18.06, 177.68]",Lautropia,0,163
"[20.102564102564102, 521.6282051282051]",Lautropia,0,165
"[18.926470588235293, 620.0882352941177]",Treponema,0,166
"[20.33823529411765, 777.5294117647059]",Pasteurellaceae,0,168
"[17.698795180722893, 1316.7831325301204]",TM7,0,171
"[20.25, 1531.5]",Treponema,0,174
"[18.674698795180724, 36.855421686746986]",Porphyromonas,0,176
"[23.514018691588785, 52.495327102803735]",Streptococcus,0,177
"[20.782608695652176, 65.29347826086956]",Actinomyces,0,178
"[19.883116883116884, 330.7922077922078]",Lautropia,0,181
"[20.561643835616437, 448.3013698630137]",Neisseriaceae,0,183
"[21.670886075949365, 501.8987341772152]",Treponema,0,184
"[20.183333333333334, 572.2]",Prevotella,0,185
"[19.264150943396228, 928.8490566037735]",Lautropia,0,187
"[20.9, 1017.4166666666666]",Prevotella,0,189
"[20.48148148148148, 1218.3703703703704]",Porphyromonas,0,191
"[17.565217391304348, 1262.5652173913043]",Fusobacterium,0,192
"[18.419354838709676, 1357.5806451612902]",Lautropia,0,193
"[21.3125, 1390.2125]",Lautropia,0,194
"[19.125, 1442.1964285714287]",Corynebacterium,0,196
"[18.267605633802816, 1458.5915492957747]",Porphyromonas,0,197
"[19.132075471698112, 1879.0]",Lautropia,0,201
"[19.50943396226415, 383.75471698113205]",Fusobacterium,0,206
"[21.089285714285715, 394.73214285714283]",Fusobacterium,0,207
"[21.357142857142858, 601.5285714285715]",Rothia,0,208
"[21.196428571428573, 757.2678571428571]",Corynebacterium,0,209
"[21.327868852459016, 885.8524590163935]",Prevotella,0,210
"[24.095890410958905, 997.5342465753424]",Pasteurellaceae,0,211
"[22.20689655172414, 1033.5344827586207]",TM7,0,212
"[19.728813559322035, 1094.7288135593221]",Veillonella,0,213
"[21.044776119402986, 1179.8059701492537]",TM7,0,215
"[20.375, 1588.828125]",Rothia,0,218
"[21.405172413793103, 539.0689655172414]",Lautropia,0,220
"[20.88679245283019, 722.1509433962265]",Lautropia,0,222
"[24.729411764705883, 788.435294117647]",Porphyromonas,0,223
"[20.78181818181818, 1107.418181818182]",Prevotella,0,225
"[24.528455284552845, 1851.5284552845528]",Porphyromonas,0,230
"[23.7, 213.58]",Treponema,0,235
"[22.618181818181817, 407.4909090909091]",Neisseriaceae,0,237
"[23.822580645161292, 472.46774193548384]",Veillonella,0,238
"[23.161290322580644, 1374.7903225806451]",TM7,0,241
"[23.634920634920636, 1571.2857142857142]",TM7,0,242
"[25.86868686868687, 351.27272727272725]",Neisseriaceae,0,246
"[25.075, 663.675]",Selenomonas,0,247
"[25.322222222222223, 862.2333333333333]",Veillonella,0,248
"[23.060606060606062, 1631.1515151515152]",Neisseriaceae,0,251
"[23.734375, 293.71875]",TM7,0,254
"[22.232142857142858, 433.73214285714283]",TM7,0,255
"[23.466666666666665, 1076.7833333333333]",Prevotella,0,262
"[23.931506849315067, 1241.2328767123288]",Gemella,0,263
"[26.134920634920636, 1490.2301587301588]",Actinomyces,0,264
"[28.314685314685313, 1511.5804195804196]",Pasteurellaceae,0,265
"[27.351063829787233, 845.5531914893617]",TM7,0,273
"[26.371794871794872, 1203.5]",Fusobacterium,0,277
"[27.78481012658228, 1335.5822784810127]",Treponema,0,278
"[29.645833333333332, 1643.9375]",Lautropia,0,279
"[31.64, 1688.2]",Selenomonas,0,280
"[33.98639455782313, 31.571428571428573]",Leptotrichia,0,282
"[27.134146341463413, 270.5487804878049]",Treponema,0,283
"[28.1, 380.78333333333336]",Gemella,0,284
"[27.291666666666668, 1118.4583333333333]",Porphyromonas,0,288
"[30.2, 1155.4]",Treponema,0,289
"[30.580246913580247, 1551.5123456790122]",Neisseriaceae,0,290
"[27.594594594594593, 1619.8783783783783]",Neisseriaceae,0,291
"[25.641509433962263, 1672.2075471698113]",Capnocytophaga,0,292
"[25.602739726027398, 1928.4383561643835]",Porphyromonas,0,293
"[30.14814814814815, 368.8395061728395]",Treponema,0,296
