coord,sciname,tile,label
"[4.609375, 50.921875]",Fusobacterium,0,2
"[4.621052631578947, 103.9578947368421]",Rothia,0,3
"[4.6938775510204085, 126.28571428571429]",Prevotella,0,4
"[3.657142857142857, 165.65714285714284]",Fusobacterium,0,5
"[4.327868852459017, 185.9016393442623]",Prevotella,0,6
"[4.682080924855492, 264.84971098265896]",Rothia,0,7
"[4.222222222222222, 308.3703703703704]",Rothia,0,9
"[4.0508474576271185, 321.89830508474574]",Rothia,0,10
"[5.635294117647059, 346.54117647058825]",Rothia,0,11
"[4.151515151515151, 405.8636363636364]",Rothia,0,13
"[4.397058823529412, 430.3235294117647]",Rothia,0,14
"[4.59375, 486.75]",Fusobacterium,0,15
"[6.234375, 516.828125]",Fusobacterium,0,17
"[5.0285714285714285, 544.9142857142857]",Fusobacterium,0,18
"[5.012269938650307, 579.7300613496933]",Veillonella,0,19
"[5.908396946564886, 610.3129770992366]",Prevotella,0,20
"[5.279411764705882, 628.6764705882352]",Rothia,0,21
"[4.008, 701.664]",Fusobacterium,0,22
"[4.5, 718.0]",Rothia,0,23
"[4.046153846153846, 780.3384615384615]",Veillonella,0,24
"[5.075268817204301, 868.9569892473119]",Veillonella,0,25
"[4.603448275862069, 916.8793103448276]",Rothia,0,26
"[4.384615384615385, 954.5]",Veillonella,0,27
"[5.032258064516129, 1003.9516129032259]",Prevotella,0,29
"[5.557142857142857, 1016.1571428571428]",Fusobacterium,0,30
"[4.5625, 1029.140625]",Prevotella,0,31
"[4.540983606557377, 1061.950819672131]",Prevotella,0,33
"[5.49438202247191, 1084.752808988764]",Veillonella,0,35
"[4.627118644067797, 1145.915254237288]",Rothia,0,36
"[2.9827586206896552, 1174.155172413793]",Rothia,0,37
"[5.0, 1209.2957746478874]",Capnocytophaga,0,40
"[3.7358490566037736, 1246.433962264151]",Fusobacterium,0,42
"[5.074074074074074, 1350.4814814814815]",Fusobacterium,0,44
"[4.8088235294117645, 1361.5441176470588]",Fusobacterium,0,45
"[4.0, 1385.9375]",Rothia,0,46
"[4.0625, 1419.46875]",Prevotella,0,47
"[4.741379310344827, 1456.7241379310344]",Prevotella,0,48
"[5.444444444444445, 1477.0493827160494]",Veillonella,0,49
"[4.408450704225352, 1522.6338028169014]",Prevotella,0,50
"[4.923076923076923, 1562.8589743589744]",Veillonella,0,51
"[5.142857142857143, 1581.0879120879122]",Veillonella,0,52
"[3.5652173913043477, 1609.8478260869565]",Fusobacterium,0,53
"[4.35042735042735, 1664.3504273504273]",Fusobacterium,0,54
"[3.831168831168831, 1682.6233766233765]",Fusobacterium,0,55
"[4.0, 1727.5]",Veillonella,0,56
"[5.213333333333333, 1757.8533333333332]",Prevotella,0,57
"[4.275510204081633, 1826.9795918367347]",Prevotella,0,59
"[3.857142857142857, 1854.3650793650793]",Fusobacterium,0,60
"[5.711111111111111, 1894.3555555555556]",Fusobacterium,0,61
"[4.975609756097561, 1925.9756097560976]",Veillonella,0,62
"[4.5964912280701755, 371.6666666666667]",Rothia,0,63
"[5.206896551724138, 1049.5]",Veillonella,0,65
"[5.739726027397261, 1807.7945205479452]",Rothia,0,67
"[5.9523809523809526, 886.2952380952381]",Fusobacterium,0,68
"[5.54, 906.54]",Prevotella,0,69
"[5.5, 1290.0212765957447]",Fusobacterium,0,71
"[6.139240506329114, 67.16455696202532]",Rothia,0,73
"[5.90566037735849, 293.62264150943395]",Prevotella,0,75
"[6.176470588235294, 498.1764705882353]",Fusobacterium,0,77
"[6.7384615384615385, 646.8615384615384]",Fusobacterium,0,80
"[17.70408163265306, 152.26530612244898]",Rothia,0,92
"[19.59633027522936, 209.14678899082568]",Prevotella,0,93
"[18.753846153846155, 366.46923076923076]",Veillonella,0,94
"[20.35374149659864, 528.4489795918367]",Fusobacterium,0,95
"[16.29032258064516, 939.2741935483871]",Rothia,0,96
"[18.434782608695652, 1768.8260869565217]",Prevotella,0,98
"[20.150943396226417, 1783.377358490566]",Gemella,0,99
"[21.883333333333333, 1926.1833333333334]",TM7,0,100
"[19.5, 11.779569892473118]",Actinomyces,0,101
"[17.69736842105263, 179.27631578947367]",Prevotella,0,102
"[17.352941176470587, 221.7058823529412]",Rothia,0,103
"[21.572916666666668, 293.7708333333333]",Rothia,0,104
"[20.376923076923077, 329.9923076923077]",Rothia,0,105
"[19.32967032967033, 411.14285714285717]",Rothia,0,106
"[20.280898876404493, 561.8202247191011]",Gemella,0,109
"[18.82857142857143, 655.5714285714286]",Rothia,0,110
"[18.319327731092436, 749.0840336134454]",Actinomyces,0,111
"[23.0, 815.5419847328244]",Rothia,0,112
"[20.65909090909091, 849.0568181818181]",Campylobacter,0,113
"[18.402985074626866, 990.7164179104477]",Fusobacterium,0,114
"[18.642857142857142, 1073.142857142857]",Prevotella,0,115
"[18.5188679245283, 1117.867924528302]",Rothia,0,116
"[19.853211009174313, 1185.6238532110092]",Lautropia,0,117
"[22.058823529411764, 1278.1176470588234]",Rothia,0,118
"[18.528735632183906, 1440.3563218390805]",Prevotella,0,120
"[17.636363636363637, 1604.155844155844]",Rothia,0,121
"[18.89, 1639.55]",Rothia,0,122
"[19.0, 1795.8505747126437]",Veillonella,0,123
"[18.161290322580644, 1852.0645161290322]",Rothia,0,124
"[18.523076923076925, 28.6]",Actinomyces,0,125
"[18.904761904761905, 45.476190476190474]",Rothia,0,126
"[18.46031746031746, 68.7936507936508]",Actinomyces,0,127
"[23.4, 94.4]",Lautropia,0,128
"[21.15714285714286, 103.9]",Gemella,0,129
"[19.345454545454544, 136.11818181818182]",Gemella,0,131
"[18.25, 191.3409090909091]",Prevotella,0,132
"[18.983050847457626, 233.27118644067798]",Gemella,0,133
"[18.310344827586206, 245.41379310344828]",Neisseriaceae,0,134
"[18.745454545454546, 255.23636363636365]",Gemella,0,135
"[18.794117647058822, 265.02941176470586]",Veillonella,0,136
"[21.122448979591837, 279.83673469387753]",Lautropia,0,137
"[19.807692307692307, 305.6666666666667]",Fusobacterium,0,138
"[19.978947368421053, 317.69473684210527]",Prevotella,0,139
"[20.724137931034484, 351.4712643678161]",Gemella,0,140
"[21.082644628099175, 443.8099173553719]",TM7,0,141
"[18.015384615384615, 457.67692307692306]",TM7,0,142
"[19.77777777777778, 501.80555555555554]",Fusobacterium,0,143
"[19.306306306306308, 588.3783783783783]",Gemella,0,144
"[18.603448275862068, 689.8103448275862]",Fusobacterium,0,145
"[18.620689655172413, 730.5689655172414]",Lautropia,0,146
"[18.560606060606062, 768.5]",Lautropia,0,147
"[18.23076923076923, 787.5512820512821]",Prevotella,0,148
"[23.155172413793103, 800.0689655172414]",Rothia,0,149
"[21.135135135135137, 825.972972972973]",Neisseriaceae,0,150
"[19.11904761904762, 835.6904761904761]",Rothia,0,151
"[18.694444444444443, 861.4444444444445]",Veillonella,0,152
"[17.982142857142858, 873.0]",Lautropia,0,153
"[19.602739726027398, 895.6027397260274]",Rothia,0,154
"[20.63013698630137, 906.6986301369863]",Treponema,0,155
"[19.108695652173914, 950.8369565217391]",Rothia,0,157
"[18.727272727272727, 965.9318181818181]",TM7,0,158
"[19.28358208955224, 977.6119402985074]",Actinomyces,0,159
"[18.232876712328768, 1006.082191780822]",Prevotella,0,160
"[23.8, 1017.4434782608696]",Lautropia,0,161
"[19.660550458715598, 1039.2752293577983]",Prevotella,0,162
"[19.17142857142857, 1057.5142857142857]",Gemella,0,163
"[18.611650485436893, 1088.0194174757282]",Veillonella,0,164
"[19.013157894736842, 1101.8815789473683]",Lautropia,0,165
"[21.751937984496124, 1199.6201550387598]",Rothia,0,166
"[20.169014084507044, 1216.2042253521126]",Fusobacterium,0,167
"[18.07843137254902, 1233.3725490196077]",TM7,0,168
"[20.162790697674417, 1245.4302325581396]",Gemella,0,169
"[20.523809523809526, 1309.6507936507937]",TM7,0,170
"[19.322222222222223, 1326.6333333333334]",Lautropia,0,171
"[22.045045045045047, 1341.1351351351352]",Fusobacterium,0,172
"[20.339080459770116, 1358.028735632184]",Rothia,0,173
