coord,sciname,tile,label
"(4.987341772151899, 172.50632911392404)",Capnocytophaga,0,1
"(6.701754385964913, 189.60526315789474)",Corynebacterium,0,2
"(4.712643678160919, 242.58620689655172)",Capnocytophaga,0,4
"(8.904494382022472, 272.20786516853934)",Capnocytophaga,0,5
"(7.0, 307.8073394495413)",Actinomyces,0,6
"(23.16915422885572, 519.0547263681592)",Streptococcus,0,7
"(3.1475409836065573, 575.7049180327868)",TM7,0,9
"(5.496240601503759, 641.2255639097745)",Streptococcus,0,10
"(4.291666666666667, 697.5833333333334)",TM7,0,11
"(3.967741935483871, 727.0483870967741)",TM7,0,13
"(9.322916666666666, 1033.3697916666667)",Streptococcus,0,14
"(6.619469026548672, 1057.9026548672566)",Leptotrichia,0,15
"(6.640718562874252, 1346.0958083832336)",Leptotrichia,0,17
"(3.180327868852459, 1379.1147540983607)",Streptococcus,0,18
"(6.438095238095238, 1442.6095238095238)",Leptotrichia,0,20
"(4.766129032258065, 1487.6854838709678)",Streptococcus,0,21
"(7.695035460992908, 1628.758865248227)",Leptotrichia,0,23
"(5.5625, 1658.2142857142858)",Veillonella,0,24
"(2.479338842975207, 1718.1487603305786)",Streptococcus,0,25
"(3.5901639344262297, 1825.8196721311476)",Fusobacterium,0,26
"(2.6, 1835.909090909091)",Treponema,0,27
"(4.519230769230769, 1857.7307692307693)",Leptotrichia,0,28
"(3.5309734513274336, 1946.513274336283)",Pasteurellaceae,0,29
"(5.957142857142857, 681.5428571428571)",Capnocytophaga,0,30
"(7.130952380952381, 1267.3095238095239)",TM7,0,31
"(6.466019417475728, 1398.8446601941748)",Leptotrichia,0,32
"(7.7555555555555555, 291.73333333333335)",Rothia,0,33
"(7.875, 557.8863636363636)",Rothia,0,34
"(9.964285714285714, 1679.3316326530612)",Selenomonas,0,36
"(7.76158940397351, 1807.291390728477)",Corynebacterium,0,37
"(9.4375, 1095.5)",Treponema,0,38
"(12.541666666666666, 1254.96875)",Selenomonas,0,39
"(11.703125, 1300.1484375)",Streptococcus,0,40
