coord,sciname,tile,label
"(4.925925925925926, 10.432098765432098)",Capnocytophaga,0,1
"(8.643478260869566, 28.356521739130436)",Capnocytophaga,0,2
"(4.846153846153846, 43.4)",Capnocytophaga,0,3
"(3.806451612903226, 116.44086021505376)",TM7,0,4
"(6.90625, 132.80208333333334)",TM7,0,5
"(2.263157894736842, 158.3859649122807)",TM7,0,7
"(13.578947368421053, 285.41052631578947)",Corynebacterium,0,9
"(3.5925925925925926, 314.9259259259259)",Corynebacterium,0,11
"(1.6037735849056605, 391.41509433962267)",TM7,0,12
"(3.18, 401.9)",Fusobacterium,0,13
"(3.121212121212121, 429.6969696969697)",TM7,0,14
"(6.164835164835165, 555.7032967032967)",Fusobacterium,0,16
"(3.2545454545454544, 569.3090909090909)",Pasteurellaceae,0,17
"(5.011764705882353, 591.3294117647059)",Corynebacterium,0,18
"(3.6507936507936507, 647.2380952380952)",TM7,0,19
"(4.568181818181818, 705.125)",Veillonella,0,20
"(4.860759493670886, 741.7721518987341)",Selenomonas,0,21
"(6.2405063291139244, 777.2151898734177)",TM7,0,22
"(2.1025641025641026, 807.3974358974359)",Corynebacterium,0,23
"(2.8493150684931505, 838.7534246575342)",TM7,0,25
"(3.3934426229508197, 866.672131147541)",TM7,0,27
"(4.581818181818182, 885.9181818181818)",Capnocytophaga,0,28
"(8.087719298245615, 922.5087719298245)",Corynebacterium,0,29
"(9.252747252747254, 938.945054945055)",Rothia,0,30
"(7.1521739130434785, 1025.0869565217392)",Treponema,0,32
"(2.987012987012987, 1093.8051948051948)",Pasteurellaceae,0,35
"(3.9615384615384617, 1107.673076923077)",TM7,0,36
"(3.696, 1128.64)",TM7,0,37
"(4.385964912280702, 1172.4035087719299)",TM7,0,38
"(4.859649122807017, 1202.8245614035088)",TM7,0,41
"(6.380597014925373, 1270.544776119403)",Lautropia,0,42
"(4.769230769230769, 1590.010989010989)",Leptotrichia,0,45
"(3.0555555555555554, 1670.088888888889)",Leptotrichia,0,46
"(3.6774193548387095, 1702.4516129032259)",Leptotrichia,0,47
"(4.776699029126213, 1744.631067961165)",Lautropia,0,48
"(2.9019607843137254, 1762.7058823529412)",Fusobacterium,0,49
"(3.317073170731707, 1782.7926829268292)",Treponema,0,50
