coord,sciname,tile,label
"(7.247524752475248, 771.8415841584158)",Pasteurellaceae,0,1
"(5.134020618556701, 787.4536082474227)",Prevotella,0,2
"(3.2115384615384617, 828.7884615384615)",Gemella,0,3
"(5.815217391304348, 935.0760869565217)",Pasteurellaceae,0,4
"(10.559055118110237, 993.4724409448819)",Treponema,0,5
"(10.564102564102564, 1014.9487179487179)",TM7,0,6
"(4.547169811320755, 1024.3207547169811)",Treponema,0,7
"(3.6363636363636362, 1038.8068181818182)",Rothia,0,8
"(4.157894736842105, 1058.9649122807018)",Veillonella,0,10
"(3.2033898305084745, 1184.4406779661017)",Rothia,0,11
"(3.488095238095238, 1244.2619047619048)",Prevotella,0,12
"(7.125, 1269.5673076923076)",Rothia,0,14
"(6.447619047619048, 1312.3428571428572)",Campylobacter,0,15
"(4.046875, 1840.125)",Veillonella,0,17
"(3.541176470588235, 1857.9411764705883)",TM7,0,18
"(5.0, 1897.6666666666667)",Gemella,0,19
"(5.149253731343284, 1916.9701492537313)",Lautropia,0,20
"(7.492537313432836, 1777.4776119402984)",Selenomonas,0,23
"(6.507246376811594, 883.7971014492754)",Actinomyces,0,24
"(8.33125, 1219.98125)",Prevotella,0,26
"(7.023809523809524, 714.3730158730159)",Rothia,0,29
"(7.433962264150943, 817.6792452830189)",Prevotella,0,30
"(6.575757575757576, 859.5757575757576)",Pasteurellaceae,0,32
"(7.733333333333333, 901.0666666666667)",Selenomonas,0,33
"(8.373737373737374, 1104.5151515151515)",Veillonella,0,35
"(8.93939393939394, 1124.6515151515152)",Rothia,0,36
"(7.623376623376624, 1199.922077922078)",Actinomyces,0,38
"(9.702380952380953, 1283.7142857142858)",Rothia,0,39
"(6.647058823529412, 805.0588235294117)",Lautropia,0,41
"(14.544943820224718, 1138.4662921348315)",Rothia,0,45
"(9.65, 740.1833333333333)",TM7,0,47
"(12.925925925925926, 1319.8333333333333)",Fusobacterium,0,48
"(13.790322580645162, 829.3709677419355)",Fusobacterium,0,49
"(12.591549295774648, 919.0422535211268)",Fusobacterium,0,51
"(11.166666666666666, 1237.5)",Rothia,0,52
"(16.95275590551181, 694.8188976377953)",Fusobacterium,0,53
"(13.985714285714286, 757.7428571428571)",Pasteurellaceae,0,54
"(13.51923076923077, 844.4807692307693)",TM7,0,55
"(17.693181818181817, 799.6022727272727)",Rothia,0,59
"(14.88, 1175.0666666666666)",Gemella,0,62
"(14.885245901639344, 1187.5081967213114)",TM7,0,63
"(14.903614457831326, 1336.1686746987953)",Rothia,0,68
"(14.75, 1858.609375)",Gemella,0,69
"(16.52777777777778, 814.3611111111111)",TM7,0,70
"(16.48076923076923, 874.2884615384615)",Rothia,0,71
"(16.442307692307693, 1346.7115384615386)",Rothia,0,73
"(19.438095238095237, 1458.4666666666667)",Streptococcus,0,74
"(21.870967741935484, 942.9290322580645)",Prevotella,0,75
"(17.41269841269841, 1039.1746031746031)",Rothia,0,76
"(18.153846153846153, 1158.9538461538461)",Rothia,0,77
"(21.0, 733.3582089552239)",Veillonella,0,79
"(19.87378640776699, 784.4271844660194)",TM7,0,81
"(19.8984375, 859.78125)",TM7,0,82
"(18.87037037037037, 1449.0185185185185)",Treponema,0,83
"(19.75409836065574, 1876.377049180328)",Lautropia,0,86
"(20.583333333333332, 960.3333333333334)",Treponema,0,88
"(23.61682242990654, 974.2523364485982)",TM7,0,89
"(20.63095238095238, 1089.2380952380952)",Rothia,0,90
"(20.650793650793652, 1295.3492063492063)",Fusobacterium,0,91
"(19.966666666666665, 1359.9666666666667)",Rothia,0,92
"(19.946153846153845, 1383.7384615384615)",Rothia,0,93
"(22.83478260869565, 1406.608695652174)",Veillonella,0,94
"(24.154761904761905, 835.8809523809524)",Prevotella,0,95
"(28.808035714285715, 1046.28125)",Campylobacter,0,97
"(22.707142857142856, 1074.4571428571428)",Lautropia,0,98
"(23.037974683544302, 1847.4556962025317)",Lautropia,0,100
"(24.349056603773583, 723.4716981132076)",Rothia,0,101
"(22.448275862068964, 914.7758620689655)",Prevotella,0,103
"(20.869565217391305, 1005.1739130434783)",Fusobacterium,0,104
"(20.833333333333332, 1259.6666666666667)",Fusobacterium,0,106
"(25.558333333333334, 760.325)",Fusobacterium,0,108
"(25.923076923076923, 1421.4769230769232)",Gemella,0,112
"(24.207792207792206, 1746.2337662337663)",Treponema,0,113
"(24.57608695652174, 1823.7282608695652)",Lautropia,0,114
"(24.40277777777778, 1277.986111111111)",TM7,0,115
"(25.984848484848484, 708.8484848484849)",Streptococcus,0,117
"(25.5, 1434.5)",Streptococcus,0,121
