coord,sciname,tile,label
"(4.688311688311688, 88.14285714285714)",Leptotrichia,0,1
"(2.595744680851064, 108.78014184397163)",Leptotrichia,0,2
"(5.042553191489362, 211.40425531914894)",Leptotrichia,0,3
"(4.274725274725275, 225.95604395604394)",Streptococcus,0,4
"(5.378787878787879, 320.54545454545456)",Leptotrichia,0,5
"(3.305084745762712, 354.77966101694915)",Leptotrichia,0,7
"(2.9878048780487805, 402.8048780487805)",Capnocytophaga,0,8
"(2.8, 458.72)",Corynebacterium,0,9
"(4.671232876712328, 545.4520547945206)",Corynebacterium,0,10
"(5.230769230769231, 597.7142857142857)",Porphyromonas,0,12
"(14.305699481865284, 639.7979274611399)",Corynebacterium,0,13
"(6.6422018348623855, 653.4678899082569)",Corynebacterium,0,14
"(2.3035714285714284, 747.9642857142857)",Corynebacterium,0,15
"(3.28, 816.13)",TM7,0,17
"(8.061224489795919, 967.0714285714286)",Streptococcus,0,20
"(5.173469387755102, 1136.1530612244899)",Porphyromonas,0,24
"(3.382716049382716, 1159.5185185185185)",Corynebacterium,0,25
"(2.980392156862745, 1187.6470588235295)",Corynebacterium,0,26
"(8.094017094017094, 1206.08547008547)",Streptococcus,0,28
"(5.2727272727272725, 1233.0)",Streptococcus,0,30
"(3.4761904761904763, 1253.3809523809523)",Selenomonas,0,31
"(3.269230769230769, 1292.9615384615386)",Leptotrichia,0,32
"(7.21969696969697, 1308.871212121212)",Leptotrichia,0,33
"(3.103448275862069, 1361.7413793103449)",Leptotrichia,0,34
"(3.4166666666666665, 1382.8833333333334)",Leptotrichia,0,35
"(2.8947368421052633, 1421.3157894736842)",Leptotrichia,0,37
"(2.156862745098039, 1530.1960784313726)",Leptotrichia,0,38
"(3.3333333333333335, 1561.2777777777778)",Leptotrichia,0,40
"(12.319526627218934, 1587.301775147929)",Leptotrichia,0,41
"(2.269230769230769, 1637.8653846153845)",Leptotrichia,0,42
"(4.0, 1674.358024691358)",Leptotrichia,0,43
"(8.766169154228855, 1937.1940298507463)",Leptotrichia,0,46
"(3.9770114942528734, 1988.1494252873563)",Streptococcus,0,47
"(6.8354430379746836, 904.2784810126582)",Leptotrichia,0,48
"(5.934210526315789, 1510.6315789473683)",Streptococcus,0,49
"(7.242857142857143, 1280.1714285714286)",Leptotrichia,0,51
"(7.0, 1462.638888888889)",Leptotrichia,0,52
"(8.549295774647888, 707.6056338028169)",Corynebacterium,0,53
"(9.568965517241379, 1373.7068965517242)",Leptotrichia,0,54
"(7.634408602150538, 1855.6559139784947)",Leptotrichia,0,55
"(10.348837209302326, 1899.360465116279)",Leptotrichia,0,56
"(10.436974789915967, 161.69747899159663)",Leptotrichia,0,57
"(9.981481481481481, 364.462962962963)",Corynebacterium,0,58
"(9.243243243243244, 983.972972972973)",Neisseriaceae,0,61
"(17.34722222222222, 1036.298611111111)",Leptotrichia,0,62
"(9.777777777777779, 1102.7592592592594)",Actinomyces,0,63
"(10.228571428571428, 1765.3142857142857)",Leptotrichia,0,64
"(8.94, 32.32)",Leptotrichia,0,65
"(9.93939393939394, 60.90909090909091)",Leptotrichia,0,66
"(9.370967741935484, 197.74193548387098)",Leptotrichia,0,67
"(10.707692307692307, 275.66153846153844)",Leptotrichia,0,68
"(13.162393162393162, 307.46153846153845)",Leptotrichia,0,69
"(11.064935064935066, 886.2467532467532)",Rothia,0,70
"(10.537037037037036, 1754.2222222222222)",Leptotrichia,0,72
"(13.310344827586206, 239.39655172413794)",Leptotrichia,0,74
"(11.6875, 337.5)",Leptotrichia,0,75
"(18.59259259259259, 532.5222222222222)",Neisseriaceae,0,76
"(11.508670520231213, 730.5028901734104)",Leptotrichia,0,77
"(17.473684210526315, 856.8223684210526)",Rothia,0,78
"(10.77570093457944, 1015.1401869158879)",Corynebacterium,0,79
"(11.568627450980392, 1329.4705882352941)",Leptotrichia,0,81
"(10.417721518987342, 1395.7215189873418)",Leptotrichia,0,82
"(17.01764705882353, 1713.2941176470588)",Leptotrichia,0,83
"(13.128205128205128, 76.32051282051282)",Leptotrichia,0,84
"(14.81578947368421, 1174.842105263158)",Corynebacterium,0,85
"(12.36923076923077, 1432.076923076923)",Leptotrichia,0,86
"(18.470588235294116, 1487.787330316742)",Leptotrichia,0,87
"(14.439655172413794, 1601.8103448275863)",Leptotrichia,0,88
"(15.68, 1623.64)",Leptotrichia,0,89
"(16.476190476190474, 18.865079365079364)",Leptotrichia,0,90
"(17.072, 176.304)",Leptotrichia,0,91
"(12.95890410958904, 422.36986301369865)",Treponema,0,93
"(15.201680672268907, 511.1344537815126)",TM7,0,94
"(12.988636363636363, 775.1136363636364)",Corynebacterium,0,95
"(15.235955056179776, 1242.314606741573)",Leptotrichia,0,97
"(16.470588235294116, 1262.5228758169935)",Streptococcus,0,98
"(13.860759493670885, 1449.5696202531647)",Leptotrichia,0,99
"(19.141242937853107, 1552.1186440677966)",Leptotrichia,0,100
"(12.621951219512194, 1691.341463414634)",Leptotrichia,0,101
