coord,sciname,tile,label
"(9.787096774193548, 21.2)",Leptotrichia,0,1
"(2.336734693877551, 63.44897959183673)",Corynebacterium,0,3
"(3.6610169491525424, 81.35593220338983)",Pasteurellaceae,0,4
"(6.932203389830509, 105.88983050847457)",Pasteurellaceae,0,6
"(5.1454545454545455, 118.7090909090909)",Capnocytophaga,0,7
"(4.34, 149.54)",Corynebacterium,0,8
"(8.281818181818181, 162.4090909090909)",Corynebacterium,0,9
"(4.119047619047619, 187.51190476190476)",Corynebacterium,0,10
"(10.982300884955752, 237.07079646017698)",Corynebacterium,0,11
"(5.601941747572815, 250.20388349514562)",Corynebacterium,0,12
"(2.84, 323.96)",Capnocytophaga,0,14
"(9.508287292817679, 367.76243093922653)",Capnocytophaga,0,15
"(5.762711864406779, 432.364406779661)",Corynebacterium,0,16
"(3.4375, 516.3482142857143)",Corynebacterium,0,17
"(5.396039603960396, 592.2475247524752)",Corynebacterium,0,18
"(3.855421686746988, 617.566265060241)",Corynebacterium,0,19
"(4.046153846153846, 634.0307692307692)",Corynebacterium,0,20
"(6.08955223880597, 723.5074626865671)",Corynebacterium,0,21
"(7.961290322580645, 765.4967741935484)",Corynebacterium,0,22
"(3.7333333333333334, 820.1)",Treponema,0,23
"(7.827160493827161, 905.9506172839506)",Leptotrichia,0,25
"(4.252252252252252, 955.9549549549549)",Leptotrichia,0,26
"(4.523076923076923, 1001.3538461538461)",Leptotrichia,0,27
"(6.114285714285714, 1056.7)",Leptotrichia,0,28
"(4.283018867924528, 1073.4716981132076)",Treponema,0,29
"(8.754966887417218, 1128.158940397351)",Pasteurellaceae,0,30
"(3.7464788732394365, 1141.6338028169014)",Treponema,0,31
"(4.454545454545454, 1188.9272727272728)",Selenomonas,0,32
"(6.28, 1218.77)",Pasteurellaceae,0,33
"(4.828571428571428, 1317.2428571428572)",Lautropia,0,34
"(4.607142857142857, 1346.7261904761904)",Streptococcus,0,35
"(7.243055555555555, 1397.1805555555557)",Streptococcus,0,36
"(4.41747572815534, 1428.7184466019417)",Porphyromonas,0,37
"(4.409090909090909, 1472.875)",Lautropia,0,38
"(5.888888888888889, 1532.4938271604938)",Actinomyces,0,39
"(2.7222222222222223, 1556.6944444444443)",Leptotrichia,0,40
"(3.5037593984962405, 1639.0751879699249)",Streptococcus,0,42
"(5.2384615384615385, 1661.9692307692308)",Porphyromonas,0,43
"(8.507936507936508, 1679.468253968254)",Streptococcus,0,44
"(9.517241379310345, 1708.048275862069)",Porphyromonas,0,45
"(6.87218045112782, 1768.451127819549)",Rothia,0,46
"(4.352941176470588, 1881.686274509804)",Lautropia,0,47
"(2.9056603773584904, 1924.867924528302)",Streptococcus,0,49
"(6.251908396946565, 1970.3740458015268)",Streptococcus,0,50
"(8.224852071005918, 678.7159763313609)",Selenomonas,0,51
"(5.661764705882353, 710.2352941176471)",Corynebacterium,0,52
"(7.163043478260869, 266.85869565217394)",Corynebacterium,0,53
"(7.376623376623376, 661.0)",Corynebacterium,0,55
"(7.709302325581396, 799.3604651162791)",Leptotrichia,0,56
"(5.927710843373494, 1789.132530120482)",Porphyromonas,0,59
"(6.9523809523809526, 222.17142857142858)",Capnocytophaga,0,60
"(9.531746031746032, 309.8095238095238)",Corynebacterium,0,61
"(8.22972972972973, 348.36486486486484)",Corynebacterium,0,62
"(8.017543859649123, 647.9473684210526)",Corynebacterium,0,64
"(12.740196078431373, 1735.4313725490197)",Lautropia,0,67
"(8.612903225806452, 1899.784946236559)",Lautropia,0,68
"(9.841666666666667, 745.025)",Corynebacterium,0,69
"(12.577586206896552, 970.8706896551724)",Leptotrichia,0,70
"(7.764705882352941, 1260.235294117647)",Lautropia,0,71
"(12.155737704918034, 1287.2459016393443)",Leptotrichia,0,72
"(7.423076923076923, 1809.9038461538462)",Porphyromonas,0,74
"(9.047244094488189, 1826.4960629921259)",Leptotrichia,0,75
"(9.023529411764706, 1865.3294117647058)",Streptococcus,0,76
"(9.076923076923077, 467.88461538461536)",Corynebacterium,0,78
"(11.056603773584905, 834.3207547169811)",Leptotrichia,0,79
"(8.75438596491228, 1035.719298245614)",Leptotrichia,0,80
"(9.578947368421053, 1047.6666666666667)",Pasteurellaceae,0,81
"(10.794642857142858, 1577.4285714285713)",Actinomyces,0,83
"(13.2, 197.8740740740741)",Corynebacterium,0,85
"(12.112359550561798, 335.3370786516854)",Corynebacterium,0,86
"(11.452631578947368, 559.3789473684211)",Corynebacterium,0,87
"(15.095541401273886, 1154.6751592356688)",Fusobacterium,0,88
"(9.88888888888889, 1490.6543209876543)",Lautropia,0,89
"(10.186046511627907, 1603.4767441860465)",Prevotella,0,90
"(12.777777777777779, 1848.375)",Lautropia,0,91
"(11.459016393442623, 278.42622950819674)",Corynebacterium,0,92
"(13.41025641025641, 407.62393162393164)",Corynebacterium,0,93
"(11.11864406779661, 452.7881355932203)",Corynebacterium,0,94
"(10.491525423728813, 541.4237288135594)",Corynebacterium,0,95
"(10.464285714285714, 774.0892857142857)",Corynebacterium,0,97
"(10.433333333333334, 1088.1333333333334)",Treponema,0,98
"(17.493506493506494, 1945.590909090909)",Porphyromonas,0,102
"(12.372549019607844, 422.19607843137254)",Corynebacterium,0,103
"(18.485981308411215, 1105.46261682243)",Treponema,0,104
"(16.56382978723404, 1322.595744680851)",Lautropia,0,105
"(12.674157303370787, 1459.1685393258426)",Actinomyces,0,106
"(14.741573033707866, 45.53932584269663)",Leptotrichia,0,107
"(19.036036036036037, 95.94594594594595)",Corynebacterium,0,108
"(11.544117647058824, 134.11764705882354)",Corynebacterium,0,109
"(15.378048780487806, 530.2317073170732)",Corynebacterium,0,111
"(12.391304347826088, 577.8405797101449)",Corynebacterium,0,112
"(15.620967741935484, 606.6209677419355)",Corynebacterium,0,113
"(13.684782608695652, 857.8913043478261)",Leptotrichia,0,114
"(13.727272727272727, 1022.0795454545455)",Leptotrichia,0,115
"(13.357142857142858, 1301.517857142857)",Lautropia,0,117
"(13.428571428571429, 1381.984126984127)",Actinomyces,0,118
"(15.808219178082192, 1513.4794520547946)",Porphyromonas,0,119
"(13.693548387096774, 1986.8387096774193)",Lautropia,0,121
"(13.969696969696969, 875.8383838383838)",Leptotrichia,0,123
"(15.823529411764707, 1067.894117647059)",Leptotrichia,0,124
"(13.633333333333333, 1567.1)",Leptotrichia,0,125
"(13.547169811320755, 1621.811320754717)",Selenomonas,0,126
"(15.0, 1795.0865384615386)",Streptococcus,0,127
"(13.30188679245283, 1960.4150943396226)",Porphyromonas,0,128
"(15.37037037037037, 954.9444444444445)",Leptotrichia,0,131
"(22.321428571428573, 1451.1214285714286)",Lautropia,0,132
"(19.940828402366865, 78.22485207100591)",Corynebacterium,0,133
"(15.82, 345.68)",Capnocytophaga,0,134
"(17.416666666666668, 792.574074074074)",Leptotrichia,0,135
"(17.162790697674417, 1181.3372093023256)",Fusobacterium,0,136
"(21.5, 1523.950819672131)",Streptococcus,0,137
"(15.96, 1927.4933333333333)",Leptotrichia,0,139
"(21.482456140350877, 174.43859649122808)",Corynebacterium,0,140
"(19.134615384615383, 324.5)",Capnocytophaga,0,141
"(17.6875, 1227.59375)",Leptotrichia,0,143
