coord,sciname,tile,label
"[141.375, 1791.388888888889]",Capnocytophaga,0,2
"[139.86666666666667, 1822.4166666666667]",Corynebacterium,0,4
"[144.34246575342465, 1812.5616438356165]",Capnocytophaga,0,5
"[164.96296296296296, 1808.5648148148148]",TM7,0,15
"[176.8986784140969, 1827.3127753303966]",Capnocytophaga,0,16
"[180.55357142857142, 1888.7857142857142]",Capnocytophaga,0,23
"[185.56140350877192, 1767.9298245614036]",Corynebacterium,0,25
"[192.8582089552239, 1897.7164179104477]",Capnocytophaga,0,26
"[194.90384615384616, 1843.8942307692307]",Corynebacterium,0,28
"[208.91836734693877, 1871.7551020408164]",Campylobacter,0,35
"[214.1, 1855.1333333333334]",Campylobacter,0,37
"[215.5566037735849, 1887.9528301886792]",Pasteurellaceae,0,38
"[231.51190476190476, 1842.6190476190477]",Capnocytophaga,0,46
"[234.25892857142858, 1868.955357142857]",Leptotrichia,0,47
"[233.98591549295776, 1824.2535211267605]",Capnocytophaga,0,49
"[234.31578947368422, 1768.4035087719299]",Veillonella,0,51
"[237.47540983606558, 1780.5245901639344]",Capnocytophaga,0,54
"[238.17857142857142, 1808.2738095238096]",Gemella,0,55
"[239.11428571428573, 1854.5857142857142]",Veillonella,0,56
"[243.12121212121212, 1891.828282828283]",Leptotrichia,0,59
"[243.3859649122807, 1765.982456140351]",Corynebacterium,0,60
"[248.81443298969072, 1793.9484536082475]",TM7,0,61
"[249.03174603174602, 1822.7142857142858]",Capnocytophaga,0,62
"[253.80973451327435, 1842.2212389380531]",Capnocytophaga,0,64
"[249.76712328767124, 1864.2602739726028]",Leptotrichia,0,65
"[253.2111111111111, 1779.5333333333333]",Capnocytophaga,0,69
"[255.98947368421054, 1809.3578947368421]",Leptotrichia,0,70
"[260.2151898734177, 1757.4113924050632]",Campylobacter,0,71
"[259.6938775510204, 1887.408163265306]",Capnocytophaga,0,73
"[260.85185185185185, 1550.851851851852]",Leptotrichia,0,74
"[265.1858407079646, 1736.9380530973451]",Corynebacterium,0,75
"[271.8300395256917, 1865.0553359683795]",Corynebacterium,0,79
"[265.32142857142856, 1789.392857142857]",TM7,0,80
"[271.64864864864865, 1841.7094594594594]",Capnocytophaga,0,81
"[271.72027972027973, 1799.951048951049]",Capnocytophaga,0,83
"[275.3809523809524, 1772.6587301587301]",Leptotrichia,0,87
"[271.4516129032258, 1816.516129032258]",Capnocytophaga,0,88
"[279.2903225806452, 1825.3655913978494]",Capnocytophaga,0,92
"[277.42, 1717.1]",Capnocytophaga,0,94
"[279.76666666666665, 1892.0]",Corynebacterium,0,95
"[283.10869565217394, 1789.7282608695652]",Capnocytophaga,0,96
"[284.09090909090907, 1757.3030303030303]",Leptotrichia,0,99
"[286.8152173913044, 1811.641304347826]",Capnocytophaga,0,100
"[284.991452991453, 1735.7350427350427]",Capnocytophaga,0,101
"[284.3333333333333, 1840.2631578947369]",Capnocytophaga,0,102
"[288.7808219178082, 1853.0]",Corynebacterium,0,103
"[289.2680412371134, 1565.0515463917525]",Capnocytophaga,0,108
"[290.76, 1715.62]",Capnocytophaga,0,110
"[295.3626373626374, 1831.043956043956]",Corynebacterium,0,112
"[296.12, 1862.99]",Corynebacterium,0,115
"[294.7, 1880.28]",Capnocytophaga,0,117
"[298.66990291262135, 1786.611650485437]",Veillonella,0,118
"[298.8082191780822, 1802.7671232876712]",Capnocytophaga,0,120
"[303.0074074074074, 1896.9333333333334]",Pasteurellaceae,0,121
"[300.0238095238095, 1746.297619047619]",Leptotrichia,0,123
"[304.05797101449275, 1765.536231884058]",Leptotrichia,0,125
"[304.70588235294116, 1837.0294117647059]",Capnocytophaga,0,126
"[304.6896551724138, 1703.0]",Leptotrichia,0,127
"[305.19607843137254, 1814.5882352941176]",Capnocytophaga,0,128
"[311.87142857142857, 1729.9476190476191]",Leptotrichia,0,130
"[307.5811965811966, 1874.2991452991453]",Capnocytophaga,0,132
"[308.078431372549, 1824.4901960784314]",Corynebacterium,0,133
"[316.13496932515335, 1803.0245398773006]",Capnocytophaga,0,135
"[314.4310344827586, 1858.8793103448277]",Capnocytophaga,0,136
"[316.48936170212767, 1750.5425531914893]",Leptotrichia,0,138
"[323.38513513513516, 1712.4662162162163]",Veillonella,0,140
"[321.0875, 1841.9625]",Corynebacterium,0,141
"[318.9782608695652, 1879.1304347826087]",Capnocytophaga,0,144
"[320.11340206185565, 1895.4536082474226]",Capnocytophaga,0,145
"[323.01, 1781.09]",Capnocytophaga,0,148
"[321.6, 1827.08]",Capnocytophaga,0,149
"[323.3298969072165, 1696.0927835051546]",TM7,0,150
