coord,sciname,tile,label
"[80.88461538461539, 43.46153846153846]",Fusobacterium,0,1
"[85.71666666666667, 62.9]",Rothia,0,2
"[92.18181818181819, 70.59740259740259]",Capnocytophaga,0,5
"[94.94805194805195, 46.883116883116884]",Fusobacterium,0,8
"[99.77358490566037, 24.641509433962263]",Rothia,0,9
"[103.98484848484848, 60.56060606060606]",Fusobacterium,0,10
"[103.75409836065573, 36.47540983606557]",Rothia,0,13
"[105.47368421052632, 93.54736842105264]",Rothia,0,14
"[108.01960784313725, 50.372549019607845]",TM7,0,15
"[109.52702702702703, 75.1891891891892]",Fusobacterium,0,16
"[120.8019801980198, 11.574257425742575]",Rothia,0,19
"[117.85714285714286, 60.20634920634921]",Rothia,0,20
"[119.44329896907216, 93.9381443298969]",Rothia,0,22
"[121.5, 36.50961538461539]",Fusobacterium,0,23
"[119.56, 48.84]",Fusobacterium,0,25
"[134.79611650485438, 78.07766990291262]",Fusobacterium,0,27
"[137.8150289017341, 13.034682080924856]",Rothia,0,28
"[133.4142857142857, 102.2]",TM7,0,30
"[135.88135593220338, 26.593220338983052]",Rothia,0,32
"[137.71875, 46.760416666666664]",Rothia,0,33
"[139.25, 33.916666666666664]",Rothia,0,34
"[141.51923076923077, 61.42307692307692]",Rothia,0,35
"[147.16666666666666, 109.13333333333334]",Fusobacterium,0,36
"[144.37974683544303, 84.9113924050633]",Rothia,0,37
"[153.42307692307693, 69.96153846153847]",Fusobacterium,0,40
"[156.60416666666666, 11.895833333333334]",Rothia,0,43
"[158.17543859649123, 95.3625730994152]",Rothia,0,45
"[157.75, 57.910714285714285]",TM7,0,46
"[164.59259259259258, 44.27777777777778]",Rothia,0,49
"[168.72307692307692, 13.061538461538461]",Rothia,0,50
"[170.46268656716418, 64.2089552238806]",Fusobacterium,0,51
"[170.7843137254902, 85.41176470588235]",TM7,0,52
"[172.07894736842104, 26.460526315789473]",Rothia,0,53
"[172.84, 101.24]",Fusobacterium,0,55
"[174.8, 73.825]",Rothia,0,56
"[188.32258064516128, 12.838709677419354]",Rothia,0,60
"[185.47058823529412, 89.41176470588235]",Rothia,0,61
"[188.6060606060606, 24.12121212121212]",Rothia,0,62
"[187.52439024390245, 40.03658536585366]",Rothia,0,63
"[186.1216216216216, 62.567567567567565]",Rothia,0,64
"[187.96296296296296, 80.92592592592592]",Rothia,0,65
"[196.7674418604651, 49.30232558139535]",Rothia,0,66
"[195.80769230769232, 31.826923076923077]",Rothia,0,67
"[197.0655737704918, 61.77049180327869]",Fusobacterium,0,68
"[205.53846153846155, 13.403846153846153]",Rothia,0,70
"[214.11607142857142, 118.05357142857143]",Rothia,0,73
"[219.01282051282053, 132.30769230769232]",Rothia,0,74
"[232.38709677419354, 110.33870967741936]",Gemella,0,79
"[235.76666666666668, 139.08333333333334]",Rothia,0,80
"[239.1864406779661, 120.66101694915254]",Rothia,0,81
"[240.05797101449275, 149.85507246376812]",Fusobacterium,0,82
"[243.81, 179.52]",Rothia,0,84
"[249.91139240506328, 125.73417721518987]",Rothia,0,86
"[253.75806451612902, 146.8548387096774]",Fusobacterium,0,87
"[254.98461538461538, 335.5]",Rothia,0,88
"[258.7, 165.55]",Campylobacter,0,89
"[259.53333333333336, 137.38333333333333]",Rothia,0,91
"[264.22857142857146, 175.13333333333333]",Fusobacterium,0,92
"[261.2105263157895, 36.49122807017544]",Treponema,0,93
"[262.88709677419354, 324.3225806451613]",Fusobacterium,0,94
"[265.7402597402597, 195.02597402597402]",Capnocytophaga,0,96
"[266.5128205128205, 151.17948717948718]",Rothia,0,97
"[270.71, 29.25]",Fusobacterium,0,98
"[272.55555555555554, 352.9074074074074]",Rothia,0,99
"[272.1794871794872, 309.6025641025641]",Rothia,0,100
"[277.234375, 129.625]",Rothia,0,102
"[281.79245283018867, 17.58490566037736]",Fusobacterium,0,103
"[281.32307692307694, 318.96923076923076]",Rothia,0,104
"[280.6302521008403, 149.109243697479]",Rothia,0,105
"[280.97014925373134, 177.49253731343285]",Prevotella,0,106
"[282.07462686567163, 331.94029850746267]",Rothia,0,107
"[284.55555555555554, 345.86324786324786]",Rothia,0,108
"[283.7280701754386, 195.32456140350877]",TM7,0,109
"[291.56481481481484, 301.72222222222223]",Rothia,0,111
"[294.2638888888889, 283.6388888888889]",Rothia,0,113
"[297.9396551724138, 25.82758620689655]",Fusobacterium,0,114
"[300.19101123595505, 340.8876404494382]",Rothia,0,115
"[295.77027027027026, 164.52702702702703]",Rothia,0,116
"[297.4237288135593, 151.01694915254237]",Rothia,0,117
"[300.4457831325301, 321.5381526104418]",Rothia,0,118
"[299.54411764705884, 40.10294117647059]",Rothia,0,119
"[300.5670103092784, 185.15463917525773]",Fusobacterium,0,120
"[309.43809523809523, 200.92380952380952]",Rothia,0,121
"[305.9640287769784, 390.27338129496405]",Rothia,0,122
"[307.5315315315315, 166.12612612612614]",Capnocytophaga,0,123
