coord,sciname,tile,label
"(92.69565217391305, 501.61739130434785)",Corynebacterium,0,1
"(96.5, 477.5)",Veillonella,0,5
"(108.48148148148148, 395.14814814814815)",Capnocytophaga,0,7
"(108.4625, 490.0875)",Capnocytophaga,0,8
"(113.4186046511628, 411.015503875969)",Capnocytophaga,0,10
"(111.01176470588236, 442.4117647058824)",Capnocytophaga,0,11
"(113.1472081218274, 513.9492385786803)",Corynebacterium,0,12
"(116.58823529411765, 460.5467128027682)",Capnocytophaga,0,13
"(118.61818181818182, 534.5818181818182)",Capnocytophaga,0,15
"(126.76377952755905, 436.8976377952756)",Capnocytophaga,0,16
"(127.5, 481.08024691358025)",Capnocytophaga,0,18
"(125.91397849462365, 397.9247311827957)",Capnocytophaga,0,19
"(126.67961165048544, 416.8543689320388)",Corynebacterium,0,21
"(129.92, 388.24)",Fusobacterium,0,22
"(131.9902912621359, 373.1747572815534)",Pasteurellaceae,0,23
"(133.25, 509.55645161290323)",Capnocytophaga,0,24
"(135.02777777777777, 353.0833333333333)",Capnocytophaga,0,25
"(133.67857142857142, 428.875)",Capnocytophaga,0,26
"(135.69942196531792, 538.9479768786127)",Capnocytophaga,0,27
"(141.67961165048544, 456.378640776699)",Capnocytophaga,0,28
"(144.7829457364341, 520.4108527131783)",Capnocytophaga,0,29
"(141.73846153846154, 423.89230769230767)",Capnocytophaga,0,31
"(143.2289156626506, 550.6867469879518)",Selenomonas,0,32
"(144.96153846153845, 335.21153846153845)",Capnocytophaga,0,33
"(144.76190476190476, 379.95238095238096)",Leptotrichia,0,34
"(148.96478873239437, 483.9507042253521)",Capnocytophaga,0,36
"(148.2, 365.7875)",Capnocytophaga,0,37
"(149.8988764044944, 409.8426966292135)",Capnocytophaga,0,38
"(148.29850746268656, 436.17910447761193)",Capnocytophaga,0,39
"(151.64772727272728, 345.95454545454544)",Prevotella,0,40
"(155.21917808219177, 398.83561643835617)",Capnocytophaga,0,42
"(161.2603550295858, 391.4082840236686)",Capnocytophaga,0,43
"(155.66666666666666, 421.6140350877193)",Capnocytophaga,0,44
"(159.4673913043478, 434.20652173913044)",Fusobacterium,0,47
"(161.01538461538462, 491.5076923076923)",Corynebacterium,0,48
"(159.80232558139534, 362.7674418604651)",Fusobacterium,0,49
"(163.22881355932202, 513.6016949152543)",Capnocytophaga,0,50
"(164.890625, 409.765625)",Corynebacterium,0,51
"(173.31683168316832, 468.5742574257426)",TM7,0,52
"(171.1656804733728, 537.1538461538462)",Capnocytophaga,0,53
"(171.83695652173913, 346.10869565217394)",Leptotrichia,0,54
"(168.64814814814815, 438.94444444444446)",Capnocytophaga,0,55
"(171.5631067961165, 322.97087378640776)",Capnocytophaga,0,56
"(179.79527559055117, 451.62204724409446)",Rothia,0,57
"(178.72203389830509, 372.7322033898305)",Leptotrichia,0,59
"(179.44, 501.464)",Leptotrichia,0,62
"(178.82828282828282, 428.90909090909093)",TM7,0,63
"(182.9313725490196, 303.52941176470586)",Capnocytophaga,0,64
"(181.95384615384614, 415.66153846153844)",TM7,0,65
"(183.9322033898305, 396.1186440677966)",TM7,0,68
"(186.5921052631579, 480.17763157894734)",Fusobacterium,0,69
"(190.6161616161616, 528.8030303030303)",Capnocytophaga,0,70
"(185.5811965811966, 335.86324786324786)",Capnocytophaga,0,71
"(187.09375, 316.671875)",Capnocytophaga,0,73
"(187.51666666666668, 568.85)",Selenomonas,0,74
"(192.7674418604651, 353.4651162790698)",Capnocytophaga,0,75
"(190.8625, 545.225)",Veillonella,0,76
"(193.96428571428572, 421.2767857142857)",Rothia,0,77
"(194.13333333333333, 560.2133333333334)",Corynebacterium,0,78
"(192.17073170731706, 390.6341463414634)",Fusobacterium,0,79
"(195.55434782608697, 298.4021739130435)",Capnocytophaga,0,80
"(197.63333333333333, 496.28)",Pasteurellaceae,0,81
"(195.53571428571428, 583.9464285714286)",Capnocytophaga,0,83
"(201.65938864628822, 328.4235807860262)",Capnocytophaga,0,84
"(202.624, 602.504)",Capnocytophaga,0,85
"(200.9655172413793, 434.37931034482756)",Lautropia,0,87
"(204.81730769230768, 576.0192307692307)",Capnocytophaga,0,88
"(204.0086956521739, 403.89565217391305)",Actinomyces,0,89
"(202.07692307692307, 544.0)",Selenomonas,0,90
"(208.7826086956522, 348.92753623188406)",Capnocytophaga,0,91
"(212.22857142857143, 371.16326530612247)",Fusobacterium,0,92
"(203.38235294117646, 385.53921568627453)",Rothia,0,93
"(209.89403973509934, 455.26490066225165)",Leptotrichia,0,95
"(209.4945054945055, 427.7802197802198)",Leptotrichia,0,96
"(209.3783783783784, 477.6702702702703)",Leptotrichia,0,97
"(211.10285714285715, 303.5657142857143)",Capnocytophaga,0,98
"(211.9784946236559, 444.16129032258067)",Leptotrichia,0,99
"(210.975, 521.6625)",Capnocytophaga,0,100
"(214.17948717948718, 533.8717948717949)",Capnocytophaga,0,101
"(217.27522935779817, 491.57798165137615)",Treponema,0,104
"(222.78125, 418.5572916666667)",Lautropia,0,106
"(215.25, 388.3611111111111)",Lautropia,0,108
"(218.45, 610.95)",Capnocytophaga,0,109
"(220.92753623188406, 339.9130434782609)",Capnocytophaga,0,110
"(223.04950495049505, 501.91089108910893)",Selenomonas,0,111
"(219.8641975308642, 589.2469135802469)",Rothia,0,112
"(220.66666666666666, 636.2857142857143)",Capnocytophaga,0,113
"(222.0215053763441, 556.2150537634409)",Rothia,0,114
"(230.69803921568626, 575.3725490196078)",Fusobacterium,0,116
"(225.27272727272728, 435.7012987012987)",Leptotrichia,0,117
"(225.679012345679, 616.9012345679013)",Capnocytophaga,0,118
"(225.55555555555554, 643.9047619047619)",Fusobacterium,0,119
"(232.52201257861634, 481.9811320754717)",Selenomonas,0,120
"(227.50862068965517, 536.5948275862069)",Capnocytophaga,0,121
"(233.68617021276594, 599.9468085106383)",Capnocytophaga,0,122
"(230.14414414414415, 290.7927927927928)",Capnocytophaga,0,123
"(237.8793103448276, 464.42758620689654)",Selenomonas,0,124
"(230.21333333333334, 325.29333333333335)",Rothia,0,125
"(232.02564102564102, 354.55555555555554)",Rothia,0,126
"(231.53030303030303, 369.6666666666667)",Fusobacterium,0,128
"(232.5463917525773, 388.4742268041237)",Prevotella,0,129
"(235.2736842105263, 305.81052631578945)",Capnocytophaga,0,130
"(240.55494505494505, 504.032967032967)",Porphyromonas,0,131
"(237.95260663507108, 780.2132701421801)",Capnocytophaga,0,132
"(238.35632183908046, 628.2873563218391)",Capnocytophaga,0,133
"(237.51260504201682, 20.983193277310924)",Capnocytophaga,0,134
"(237.5, 697.3)",Capnocytophaga,0,136
"(239.8111111111111, 441.4222222222222)",Treponema,0,138
"(242.57391304347826, 556.4434782608696)",Fusobacterium,0,139
"(243.25652173913045, 43.09130434782609)",Fusobacterium,0,140
"(245.2695035460993, 342.90070921985813)",Fusobacterium,0,141
"(243.55555555555554, 423.6962962962963)",Leptotrichia,0,142
"(249.50595238095238, 401.75)",Leptotrichia,0,144
"(246.21518987341773, 529.9367088607595)",Lautropia,0,145
"(241.9090909090909, 541.4181818181818)",TM7,0,146
"(243.0, 362.01190476190476)",Rothia,0,150
"(244.2394366197183, 794.9014084507043)",Capnocytophaga,0,152
"(245.98936170212767, 324.3085106382979)",Fusobacterium,0,153
"(249.4777777777778, 662.5722222222222)",Leptotrichia,0,154
"(247.4375, 291.59375)",Capnocytophaga,0,155
"(250.14285714285714, 680.1428571428571)",Capnocytophaga,0,157
"(249.453125, 735.5)",Selenomonas,0,159
"(248.9493670886076, 376.1392405063291)",Fusobacterium,0,161
"(249.11666666666667, 584.1833333333333)",Capnocytophaga,0,163
"(249.40298507462686, 6.7164179104477615)",Fusobacterium,0,164
"(249.26315789473685, 567.2631578947369)",Rothia,0,165
"(252.14492753623188, 13.652173913043478)",Capnocytophaga,0,166
"(250.56410256410257, 598.8333333333334)",Fusobacterium,0,167
"(252.49253731343285, 485.1641791044776)",Veillonella,0,168
"(253.80645161290323, 510.3709677419355)",Fusobacterium,0,171
"(258.2026431718062, 439.94713656387665)",Leptotrichia,0,173
"(258.175, 498.55)",Capnocytophaga,0,174
"(253.2054794520548, 766.5890410958904)",TM7,0,175
"(258.4054054054054, 262.8738738738739)",Capnocytophaga,0,176
"(255.54901960784315, 275.88235294117646)",Capnocytophaga,0,177
"(257.41584158415844, 752.960396039604)",TM7,0,180
"(255.54545454545453, 874.4772727272727)",Capnocytophaga,0,181
"(257.60493827160496, 364.9012345679012)",Leptotrichia,0,182
"(255.03389830508473, 709.5254237288135)",Capnocytophaga,0,183
"(259.5820895522388, 728.320895522388)",Capnocytophaga,0,184
"(256.7142857142857, 28.404761904761905)",Capnocytophaga,0,185
"(259.8901098901099, 620.5494505494505)",TM7,0,186
"(258.314606741573, 790.7528089887641)",Fusobacterium,0,188
"(263.472602739726, 124.66438356164383)",Fusobacterium,0,189
"(257.7037037037037, 249.87037037037038)",Capnocytophaga,0,190
"(259.9126213592233, 353.45631067961165)",Fusobacterium,0,191
"(260.29787234042556, 635.5248226950355)",Fusobacterium,0,192
"(259.49333333333334, 232.48)",Selenomonas,0,193
"(261.1358024691358, 470.61728395061726)",Rothia,0,194
"(260.26027397260276, 606.3013698630137)",Pasteurellaceae,0,195
"(264.125, 385.0147058823529)",Veillonella,0,198
"(264.7798165137615, 561.1467889908257)",Fusobacterium,0,199
"(264.55384615384617, 777.0615384615385)",Capnocytophaga,0,200
"(266.3154362416107, 538.1342281879195)",Leptotrichia,0,201
"(266.8333333333333, 334.4492753623188)",Rothia,0,202
"(269.47712418300654, 655.6209150326797)",Leptotrichia,0,203
"(267.1951219512195, 692.0731707317074)",Capnocytophaga,0,204
"(265.1470588235294, 406.29411764705884)",Streptococcus,0,205
"(266.2, 496.3538461538462)",Neisseriaceae,0,206
"(266.82828282828285, 518.7474747474747)",Leptotrichia,0,207
"(267.8092105263158, 862.328947368421)",Capnocytophaga,0,208
"(267.6190476190476, 704.3015873015873)",Capnocytophaga,0,209
"(267.3, 716.36)",Capnocytophaga,0,210
"(268.9325842696629, 805.7191011235955)",Capnocytophaga,0,211
"(270.6965517241379, 219.1793103448276)",Capnocytophaga,0,212
"(270.36842105263156, 29.642105263157895)",Fusobacterium,0,213
"(267.49122807017545, 240.47368421052633)",Capnocytophaga,0,214
"(267.8048780487805, 671.439024390244)",Leptotrichia,0,215
"(270.8955223880597, 569.5223880597015)",Lautropia,0,217
"(270.979797979798, 314.35353535353534)",Capnocytophaga,0,218
"(270.9425287356322, 440.2068965517241)",Porphyromonas,0,220
"(275.02923976608184, 633.9766081871345)",Rothia,0,221
"(271.869918699187, 758.2357723577236)",TM7,0,222
"(273.3098591549296, 109.87323943661971)",Capnocytophaga,0,223
"(272.1011235955056, 280.0449438202247)",Capnocytophaga,0,224
"(273.5921052631579, 471.4013157894737)",Leptotrichia,0,226
"(277.8934911242604, 877.3550295857988)",Capnocytophaga,0,228
"(277.78242677824267, 182.4267782426778)",Capnocytophaga,0,229
"(273.73809523809524, 609.9404761904761)",Leptotrichia,0,230
"(273.8333333333333, 350.8888888888889)",Fusobacterium,0,231
"(277.53472222222223, 743.4097222222222)",Capnocytophaga,0,233
"(276.90277777777777, 260.47222222222223)",Selenomonas,0,234
"(275.9264705882353, 578.0735294117648)",Prevotella,0,235
"(277.6237623762376, 22.99009900990099)",Fusobacterium,0,236
"(282.6093023255814, 797.5069767441861)",Prevotella,0,237
"(281.14935064935065, 854.8766233766233)",Capnocytophaga,0,238
"(281.06201550387595, 548.2403100775193)",Leptotrichia,0,239
"(279.97435897435895, 597.7948717948718)",Leptotrichia,0,240
