coord,sciname,tile,label
"[198.82375478927204, 1233.2528735632184]",Leptotrichia,0,1
"[204.31782945736435, 1211.6434108527133]",Prevotella,0,3
"[218.4090909090909, 1261.1704545454545]",Streptococcus,0,4
"[213.45679012345678, 1228.641975308642]",Leptotrichia,0,5
"[217.91489361702128, 1199.7553191489362]",Rothia,0,6
"[218.11111111111111, 1246.8333333333333]",Leptotrichia,0,7
"[226.0392156862745, 1215.549019607843]",Leptotrichia,0,8
"[226.26388888888889, 1235.9444444444443]",Leptotrichia,0,9
"[234.9387755102041, 1283.908163265306]",Leptotrichia,0,11
"[230.9142857142857, 1398.5857142857142]",Leptotrichia,0,13
"[239.85276073619633, 1333.5828220858896]",Leptotrichia,0,14
"[237.05072463768116, 1243.2173913043478]",Leptotrichia,0,15
"[237.7483870967742, 1183.458064516129]",Pasteurellaceae,0,16
"[241.8975903614458, 1387.8493975903614]",Leptotrichia,0,17
"[245.8653846153846, 1264.8413461538462]",Streptococcus,0,18
"[238.41509433962264, 1227.8490566037735]",Prevotella,0,19
"[244.62424242424242, 1366.9818181818182]",Rothia,0,20
"[241.375, 1202.6145833333333]",Capnocytophaga,0,21
"[246.33333333333334, 1305.3142857142857]",Corynebacterium,0,22
"[250.86666666666667, 1224.9037037037037]",TM7,0,23
"[248.14457831325302, 1291.313253012048]",Pasteurellaceae,0,24
"[248.3695652173913, 1351.054347826087]",Leptotrichia,0,25
"[255.95209580838323, 1319.7065868263473]",Corynebacterium,0,28
"[257.37179487179486, 1212.128205128205]",Corynebacterium,0,29
"[258.45, 1345.31]",Leptotrichia,0,30
"[255.57894736842104, 1395.8947368421052]",Prevotella,0,31
"[255.68253968253967, 1170.2698412698412]",Corynebacterium,0,32
"[262.0, 1193.0533333333333]",Corynebacterium,0,33
"[261.4370860927152, 1252.6953642384105]",Prevotella,0,35
"[261.44761904761907, 1300.5238095238096]",Corynebacterium,0,37
"[267.2049180327869, 1277.639344262295]",Pasteurellaceae,0,41
"[268.63380281690144, 1379.2159624413146]",Prevotella,0,42
"[271.125, 1176.59375]",Leptotrichia,0,43
"[269.32894736842104, 1291.25]",Leptotrichia,0,45
"[269.61538461538464, 1336.6263736263736]",Rothia,0,46
"[271.24528301886795, 1242.9056603773586]",TM7,0,47
"[274.4438775510204, 1312.1224489795918]",Leptotrichia,0,48
"[281.04819277108436, 1216.2590361445782]",Corynebacterium,0,49
"[284.724795640327, 1408.0463215258856]",Leptotrichia,0,50
"[274.4782608695652, 1357.0108695652175]",Prevotella,0,51
"[274.5531914893617, 1260.0851063829787]",TM7,0,52
"[276.81538461538463, 1233.0307692307692]",Corynebacterium,0,53
"[284.3382352941176, 1192.875]",Corynebacterium,0,54
"[283.3592233009709, 1159.2233009708739]",TM7,0,55
"[284.64285714285717, 1274.3010204081634]",TM7,0,56
"[288.16470588235296, 1296.9882352941177]",Leptotrichia,0,57
"[282.2567567567568, 1388.2432432432433]",Leptotrichia,0,58
"[289.81168831168833, 1321.8311688311687]",Corynebacterium,0,60
"[286.7008547008547, 1350.6153846153845]",Corynebacterium,0,61
"[291.02702702702703, 1248.7702702702702]",Corynebacterium,0,62
"[295.6666666666667, 1225.747311827957]",Corynebacterium,0,63
"[291.22522522522524, 1379.2972972972973]",Prevotella,0,64
"[299.9791666666667, 1367.875]",Corynebacterium,0,65
"[299.0785340314136, 1427.1623036649214]",Leptotrichia,0,66
"[296.15, 1162.55]",TM7,0,67
"[294.4035087719298, 1332.017543859649]",Capnocytophaga,0,68
